id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,directionality,classification,max_exprmean_column,max_exprmean_value,max_score_column,max_score_value
CPI-SS00F69C501,TRH_TRHR,simple:P20396,simple:P34981,TRH,TRHR,True,False,True,curated,False,Ligand-Receptor,,30|19,0.5799999833106995,30|19,100.0
CPI-CS0BE6576AD,Testosterone_byHSD17B12_AR,complex:Testosterone_byHSD17B12,simple:P10275,,AR,True,False,True,curated,False,Ligand-Receptor,Signaling by Steroids,8|19,0.3869999945163727,8|19,100.0
CPI-CS049727103,5-HT_byTPH1_and_SLC18A2_HTR5A,complex:5-HT_byTPH1_and_SLC18A2,simple:P47898,,HTR5A,True,False,True,curated,False,Ligand-Receptor,Signaling by Serotonin,28|28,0.39100000262260437,28|28,100.0
CPI-SS0FE9D6F11,WNT7B_SFRP1,simple:P56706,simple:Q8N474,WNT7B,SFRP1,True,False,False,curated,False,Ligand-Ligand,Signaling by WNT inhibition,18|24,0.4050000011920929,18|24,100.0
CPI-SS0BE6DBE1A,POMC_MC5R,simple:P01189,simple:P33032,POMC,MC5R,True,False,True,curated,False,Ligand-Receptor,Signaling by Proopiomelanocortin,17|25,0.40799999237060547,17|25,100.0
CPI-SS06DA9B4FE,PDGFC_PDGFRA,simple:Q9NRA1,simple:P16234,PDGFC,PDGFRA,True,False,True,curated,False,Ligand-Receptor,Signaling by Platelet-derived growth factor,16|29,0.4129999876022339,16|29,100.0
CPI-SS04C672963,ESAM_ESAM,simple:Q96AP7,simple:Q96AP7,ESAM,ESAM,False,False,False,curated,False,Adhesion-Adhesion,,21|21,0.4129999876022339,21|21,100.0
CPI-SS02ADD742C,WNT7A_SFRP1,simple:O00755,simple:Q8N474,WNT7A,SFRP1,True,False,False,curated,False,Ligand-Ligand,Signaling by WNT inhibition,18|24,0.42899999022483826,18|24,100.0
CPI-SS03BC3A729,WNT7B_FRZB,simple:P56706,simple:Q92765,WNT7B,FRZB,True,False,False,curated,False,Ligand-Ligand,Signaling by WNT inhibition,18|29,0.4309999942779541,18|29,100.0
CPI-SS0E4245B64,LPAR1_ADGRE5,simple:Q92633,simple:P48960,LPAR1,ADGRE5,True,True,True,curated,False,Receptor-Receptor,Signaling by Lysophosphatidic acid receptor,4|26,0.4410000145435333,4|26,100.0
