,meanscell_abundance_w_sf_0,meanscell_abundance_w_sf_1,meanscell_abundance_w_sf_2,meanscell_abundance_w_sf_3,meanscell_abundance_w_sf_4,meanscell_abundance_w_sf_5,meanscell_abundance_w_sf_6,meanscell_abundance_w_sf_7,meanscell_abundance_w_sf_8,meanscell_abundance_w_sf_9,meanscell_abundance_w_sf_10,meanscell_abundance_w_sf_11,meanscell_abundance_w_sf_12,meanscell_abundance_w_sf_13,meanscell_abundance_w_sf_14,meanscell_abundance_w_sf_15,meanscell_abundance_w_sf_16,meanscell_abundance_w_sf_17,meanscell_abundance_w_sf_18,meanscell_abundance_w_sf_19,meanscell_abundance_w_sf_20,meanscell_abundance_w_sf_21,meanscell_abundance_w_sf_22,meanscell_abundance_w_sf_23,meanscell_abundance_w_sf_24,meanscell_abundance_w_sf_25,meanscell_abundance_w_sf_26
cellid_000117520-1_4,0.038121745,0.092394896,0.21576488,0.052809253,0.06259233,0.036321968,0.0608147,0.120061524,0.050335657,0.09528607,0.12262786,0.1748389,0.110988244,0.1565264,0.07704121,0.08891162,0.08727778,0.045808643,0.06253107,0.062422924,0.27315125,0.04498904,0.025254093,0.074228376,0.06372344,0.037209414,0.9707047
cellid_000117527-1_4,0.06008809,0.41138852,0.43187875,0.10017933,0.12724401,0.088743955,0.106256895,0.16267729,0.07500146,0.20372766,0.16743645,0.27781,0.14319657,0.16822575,0.106623106,0.21053103,0.16349131,0.08789546,0.08725975,0.09663516,0.21843806,0.06909876,0.03844357,0.1363139,0.06739793,0.08887675,0.4241601
cellid_000117537-1_4,0.06856678,0.10923189,0.096007854,0.11923108,0.09138737,0.0983553,0.24668945,0.15907207,0.056925923,0.13843207,0.19892544,0.087820366,0.1042547,0.09291932,0.08751266,0.1348102,0.15504904,0.09419796,0.0786803,0.05186245,0.17435414,0.06567629,0.03646258,0.19853,0.11190771,0.04716226,0.08787597
cellid_000117544-1_4,0.022047289,0.036292378,0.13606955,0.035541855,0.048809875,0.038446993,0.035927366,0.042641383,0.0242913,0.05845657,0.049468655,0.71533984,0.059629854,0.0780707,0.028629825,0.037389975,0.04826586,0.037138473,0.028411642,0.051063705,0.14384526,0.019997546,0.015614834,0.04550714,0.029250536,0.026508044,0.06329279
cellid_000117546-1_4,0.7921077,0.25727984,0.4002591,0.4759036,0.5356101,0.6759132,1.167302,0.4534528,0.49817067,0.6729249,0.54892683,0.4538104,0.47274062,0.37541598,0.55632234,0.3183573,0.43336704,0.51054615,0.46632168,0.50941575,0.5245693,0.6643426,0.6565173,0.8492173,0.5024055,0.50791776,0.4362548
cellid_000117553-1_4,0.11002635,0.48795754,0.15566798,0.15596431,0.13187683,0.07940062,0.22180498,0.18478726,0.09334259,0.1935119,0.16795102,0.13817322,0.16911168,0.26342022,0.14535771,0.1688624,0.096381165,0.09672907,0.1720551,0.15428673,0.19980554,0.14083517,0.06719387,0.36852905,0.101242565,0.09354958,0.8297871
cellid_000117559-1_4,0.04478342,0.116035774,0.14012426,0.07248394,0.06452677,0.07548341,0.056734633,0.10296198,0.06635105,0.14592403,0.1658577,0.13226998,0.060703255,0.10806105,0.06239539,0.1641383,0.1030079,0.044566177,0.06513114,0.044716854,0.12207708,0.06334221,0.030772176,0.115227245,0.049441453,0.06617725,0.08763231
cellid_000117564-1_4,0.71727556,0.30110157,0.4939992,0.4086118,0.4064729,0.5378789,2.4791412,0.6550639,0.4456006,0.65041834,0.53904873,0.3429349,0.48911765,0.3559828,0.44973037,0.2821487,0.4237822,0.7126094,0.5873245,0.40689918,0.46058276,0.6399883,0.52665895,0.751922,0.49620572,0.24956316,0.34401226
cellid_000117566-1_4,0.21813545,0.163345,0.22982836,0.29880333,0.21501641,0.28229114,0.52716684,0.22244208,0.27419984,0.31671652,0.36012444,0.1869397,0.19641541,0.15878591,0.27810583,0.17553784,0.22651547,0.24875122,0.16913073,0.17644188,0.20950261,0.17552242,0.13476275,0.25976327,0.17339556,0.22909208,0.13134867
cellid_000117581-1_4,0.05682366,0.03851946,0.15995595,0.12712774,0.07494164,0.055604916,0.07801719,0.07972262,0.05941219,0.12803593,0.11875131,0.17039654,0.06713921,0.065661915,0.06668559,0.053909644,0.08318304,0.037110038,0.07106268,0.06056012,0.17735833,0.07999816,0.03808435,0.09105665,0.09665489,0.026742788,0.042712566
cellid_000117582-1_4,0.04892663,0.24854961,0.13041304,0.04097538,0.09400675,0.06816654,0.13221559,0.09692762,0.040009297,0.13367213,0.1070663,0.067769974,0.10072607,0.058317665,0.0776346,0.17946558,0.07340299,0.05623249,0.057847314,0.069468595,0.120751515,0.05981277,0.046098746,0.082357444,0.060303114,0.058855604,0.11447627
cellid_000117612-1_4,0.019633973,0.07346837,0.25022957,0.032155298,0.03042994,0.02046597,0.022941282,0.051616255,0.018037768,0.07729616,0.1280505,0.06490627,0.08025696,0.08111803,0.028835954,0.042221524,0.040565707,0.030038547,0.032628067,0.037447583,0.059065886,0.022383777,0.017989002,0.02831509,0.032155164,0.038313337,0.036378924
cellid_000117615-1_4,0.020935852,0.05055351,0.0663672,0.028022755,0.03817472,0.020579362,0.045479286,0.102043256,0.021272426,0.14815436,0.072290584,0.06893404,0.052878194,0.052489582,0.030086294,0.04802004,0.046060763,0.03646628,0.025442956,0.032333508,0.13842046,0.030721033,0.014649694,0.04808758,0.023307232,0.034904912,0.0585323
cellid_000117622-1_4,0.14584944,0.2103555,0.19800325,0.23578468,0.1608064,0.20932466,0.61550474,0.2710459,0.1863724,0.29723614,0.2537397,0.30070168,0.16495073,0.32650495,0.16186856,0.30724147,0.25861284,0.17566699,0.21415035,0.17355096,0.56961364,0.18486065,0.14707728,0.50752467,0.19721064,0.20916721,0.3654707
cellid_000117630-1_4,0.043790102,0.21497585,0.5187918,0.12682323,0.11549222,0.093276255,0.24369583,0.20054205,0.055305988,0.12786432,0.19512591,0.110700004,0.15475829,0.08201632,0.12964697,0.16097824,0.1091295,0.06954645,0.0943278,0.08700818,0.16142476,0.087255895,0.06372574,0.12499616,0.076885626,0.09920883,0.13225935
cellid_000117646-1_4,0.02422181,0.06898739,0.0875196,0.05721131,0.056847226,0.050469447,0.048198294,0.13949141,0.06138976,0.12211448,0.09679584,0.07309787,0.10479427,0.06231173,0.047264785,0.048787862,0.12665895,0.070908815,0.09760374,0.041857146,0.06963516,0.06421412,0.022174114,0.04985092,0.040945604,0.06159255,0.09368805
