,q95cell_abundance_w_sf_0,q95cell_abundance_w_sf_1,q95cell_abundance_w_sf_2,q95cell_abundance_w_sf_3,q95cell_abundance_w_sf_4,q95cell_abundance_w_sf_5,q95cell_abundance_w_sf_6,q95cell_abundance_w_sf_7,q95cell_abundance_w_sf_8,q95cell_abundance_w_sf_9,q95cell_abundance_w_sf_10,q95cell_abundance_w_sf_11,q95cell_abundance_w_sf_12,q95cell_abundance_w_sf_13,q95cell_abundance_w_sf_14,q95cell_abundance_w_sf_15,q95cell_abundance_w_sf_16,q95cell_abundance_w_sf_17,q95cell_abundance_w_sf_18,q95cell_abundance_w_sf_19,q95cell_abundance_w_sf_20,q95cell_abundance_w_sf_21,q95cell_abundance_w_sf_22,q95cell_abundance_w_sf_23,q95cell_abundance_w_sf_24,q95cell_abundance_w_sf_25,q95cell_abundance_w_sf_26
cellid_000100338-1_3,1.0758232,0.43796465,0.61462724,0.71908844,0.8781606,0.88516223,0.7887648,1.018341,1.5059158,1.243561,0.99336153,0.5704088,0.8524886,0.5785475,0.9029416,0.41776273,0.93342876,0.7120714,1.0010593,1.2150054,0.7152377,1.4504867,0.9560161,0.78295994,0.61613214,0.7318583,0.5280278
cellid_000100341-1_3,0.4735975,0.3647264,0.6910523,0.5030149,0.96870005,0.54858077,0.5439969,0.67477113,1.0193074,0.5212419,1.1371932,0.34364736,0.6475035,0.33102298,0.45271203,0.5169267,0.36418742,0.49395508,0.68075925,0.536225,0.5112183,0.43601987,0.75233626,0.38451716,0.50752413,0.60882264,0.37140858
cellid_000100354-1_3,0.81791985,0.7022336,0.48723388,0.40505117,1.0162857,0.527993,0.6905014,0.9492401,1.2183263,1.0399882,0.7024006,0.54675156,1.089569,0.66435957,0.68298197,0.7593249,0.96300375,1.1732731,0.90608376,0.67197526,0.5248402,0.5103725,1.0833875,0.6102125,0.8419883,0.8419745,0.6069034
cellid_000100360-1_3,0.99308664,0.6861009,0.7010802,0.44562677,1.4730381,0.62761974,0.6535137,0.9429005,0.5223329,0.6786869,0.9360067,0.608688,0.89503276,0.7402209,0.80947727,0.34304154,0.64353114,0.98678136,0.8372897,0.7978339,0.7134119,0.4961758,1.1526119,0.49126196,0.58991915,0.45181662,0.3174138
cellid_000100362-1_3,0.37970573,0.29220042,0.38766807,0.36272338,0.53521436,0.33991888,0.29376987,0.37683815,0.5959311,0.576904,0.37219507,0.54721534,0.5422098,0.3643451,0.3251843,0.30142426,0.35713017,0.44067228,1.2722453,0.36568,0.3758735,0.35110885,0.23338284,0.38737085,0.22989929,0.21235234,0.4751639
cellid_000100380-1_3,0.28322783,1.4012644,1.2909514,0.60702556,0.49276713,0.5443628,0.27611738,0.8629554,0.4706698,0.5053371,0.56769836,4.794348,0.70122,0.48674408,0.42773435,0.6151198,0.8138656,0.4310552,0.312607,0.42377567,1.1115768,0.4267802,0.37900832,0.37459207,0.4452706,0.3196211,0.6430137
cellid_000100385-1_3,0.33198982,1.0459712,0.7475054,0.32895288,0.38657278,0.20650592,0.43678236,0.34787652,0.17426243,0.48359096,0.26858646,0.69432086,0.43596166,0.38448626,0.33231246,0.667019,0.32014292,0.5118722,0.38528264,0.30597228,0.40955043,0.2564878,0.32155868,0.27935588,0.2947183,0.28156725,0.36692452
cellid_000100387-1_3,0.6133543,0.49947834,0.75434184,0.61814696,1.2530671,0.59936404,1.330023,0.88107556,0.72032547,1.2249235,0.9817257,1.0190487,1.0134778,1.1056288,0.8420295,0.6490886,0.92812985,0.8272662,1.8703065,0.9749056,0.82792413,0.58615154,0.50891495,0.8392944,0.678448,0.53199655,0.65466064
cellid_000100402-1_3,0.17823584,0.34190282,0.41385648,0.2835087,0.80760944,0.22240473,0.17201042,0.48334002,0.8729402,0.54055476,0.5823118,0.49380535,0.29359823,0.3394747,0.4081204,0.27962106,0.36064103,0.33292156,0.83952487,0.2101367,0.660689,0.16306494,0.222088,0.3389548,0.3396655,0.3278669,0.36919472
cellid_000100407-1_3,3.158555,0.41768247,0.80287564,0.6012875,1.355996,0.71432054,0.8414062,0.8363566,0.7554669,1.0395411,0.6707388,1.2447573,0.76444197,0.73351204,1.2553592,0.49113563,0.8069022,0.738826,0.79922116,2.4137938,0.9468084,0.89888597,3.0641546,0.8392425,0.62769836,0.88439804,0.6112374
