"","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","warning","singular","f_m_q.value","d_m_q.value","d_f_q.value"
"18319","si:ch211-139g16.8",48616.5631821036,0.989468242306372,48585.7197239647,0.993013530108895,-30.8434581389437,0.999994069940027,NA,TRUE,"1","1","1"
"18320","mfsd13al",30.7374987109526,0.999984403703812,29.9633760780094,0.999984796495886,-0.774122632943171,0.206719492349674,NA,TRUE,"1","1","1"
"18321","cdr2a",-0.651406067736438,0.595907098498522,-32.1126894802711,0.934466464779861,-31.4612834125347,0.935793026739118,NA,TRUE,"1","1","1"
"18322","sdr42e2",-82.7796980384544,0.999982504451869,-28.9122242984949,0.999988104589337,53.8674737399595,0.999989873091814,NA,TRUE,"1","1","1"
"18323","mosmoa",0.145222549696736,0.352543582472685,-0.000764422020981347,0.996283727462696,-0.145986971717717,0.367878326783802,NA,TRUE,"1","1","1"
"18324","LOC111576172",0.236152861040518,0.44395529080653,0.24918208010213,0.422833824761452,0.013029219061612,0.964899660893336,NA,TRUE,"1","1","1"
"18325","si:ch211-256e16.3",0.133418904914934,0.67138258012494,0.401408721237076,0.180939516810038,0.267989816322143,0.360821800258589,NA,TRUE,"1","1","1"
"18326","slc25a17l",0.494449549295122,0.336539585915186,0.928052633532783,0.0500663739073636,0.433603084237662,0.298231072909694,NA,FALSE,"1","1","1"
"18327","dxo",0.651845370269438,0.206323104384355,0.643719731698168,0.21322255971563,-0.00812563857126987,0.985194825754025,NA,TRUE,"1","1","1"
"18328","stk19",0.042851325691475,0.952078594564999,-0.650322366198489,0.455623158455534,-0.693173691889964,0.426526059870344,NA,TRUE,"1","1","1"
"18329","LOC111576185",-0.0848884204778987,0.76793104560031,0.167523045414095,0.541949886884288,0.252411465891994,0.378176106405112,NA,TRUE,"1","1","1"
"18330","LOC111576181",0.740137913087248,0.395693411365967,1.15581372361893,0.160267663478815,0.41567581053168,0.524977573373657,NA,TRUE,"1","1","1"
"18331","LOC111576171",-0.196716908832291,0.350460210712914,-0.0133145885847311,0.948906731779585,0.18340232024756,0.401211249371462,NA,TRUE,"1","1","1"
"18332","cacng5b",-0.0410634330501675,0.869412185027564,0.109807334158568,0.649387641747094,0.150870767208735,0.546090353121591,NA,FALSE,"1","1","1"
"18333","prkcab",-0.052683885056597,0.657158817141504,-0.175516668293651,0.165756256698863,-0.122832783237054,0.34007272012186,NA,TRUE,"1","1","1"
"18334","LOC111566525",0.733568837520567,0.56395268212147,0.0170800251107088,0.990644684113886,-0.716488812409858,0.574960382722405,NA,FALSE,"1","1","1"
"18335","cep112",0.034322218774064,0.887659113511682,-0.184041579735069,0.476108056855267,-0.218363798509133,0.398866050842805,NA,TRUE,"1","1","1"
"18336","axin2",0.339390688819771,0.537206185251842,0.555868632548801,0.292926853161139,0.216477943729031,0.657074477885245,NA,TRUE,"1","1","1"
"18337","tex2",0.148272499160271,0.376604823688001,0.140236243588926,0.411965561129188,-0.00803625557134539,0.961742797214778,NA,TRUE,"1","1","1"
"18338","LOC111566520",0.0288030816468325,0.977123199117259,0.438348322561701,0.633200006789379,0.409545240914868,0.655715821743695,NA,TRUE,"1","1","1"
"18339","ern1",0.120150889062969,0.755141192878058,0.110753506321616,0.76925095233079,-0.00939738274135307,0.980567350322194,NA,FALSE,"1","1","1"
"18340","samd9l",0.00696018262651155,0.994902143180844,-0.612977663923442,0.637324199649816,-0.619937846549953,0.641988189874923,NA,FALSE,"1","1","1"
"18341","gaa",0.0213077503068929,0.936001718353401,-0.169167104609358,0.547747814506785,-0.19047485491625,0.501242202736399,NA,TRUE,"1","1","1"
"18342","tbc1d16",0.0368098038156255,0.865088653952198,-0.138735026528008,0.542499964190306,-0.175544830343634,0.441682616000133,NA,TRUE,"1","1","1"
"18343","cbx4",0.120376869171209,0.61768342366174,0.294627153603403,0.211594074190816,0.174250284432194,0.449993273078349,NA,TRUE,"1","1","1"
"18344","cbx8a",0.737781567693171,0.117726118855059,0.519214958600016,0.292313764957583,-0.218566609093155,0.598043838546999,NA,TRUE,"1","1","1"
"18345","LOC111577362",0.741112504616979,0.561448390771545,1.39047723762216,0.23750110891074,0.649364733005178,0.49326770754665,NA,FALSE,"1","1","1"
"18346","arhgap17b",0.0400258560257747,0.977467366655655,-19.0841671273536,0.998929622418941,-19.1241929833794,0.998927377481918,NA,TRUE,"1","1","1"
"18347","slc5a11",-849.337898388827,0.999820491831834,-31.9128854936186,0.999994085345443,817.425012895209,0.999886093404997,NA,TRUE,"1","1","1"
"18348","grid2ipa",0.731198279448738,0.551673219825844,0.73049428543986,0.552245135483124,-0.000703994008878154,0.999441214023428,NA,TRUE,"1","1","1"
