"","cluster","gene","Mass_estimate","Mass_summary_p.value","Mass_summary_q.value"
"59",27,"fbn1",-0.000526049224045377,0.760098946875326,0.999441924530329
"60",27,"dut",-0.000797114712360646,0.588644760066942,0.999441924530329
"61",27,"slc12a1",0.000899787292672985,0.532040256898532,0.999441924530329
"62",27,"ctxn2",0.00147940539702244,0.550302662701325,0.999441924530329
"63",27,"myef2",0.0021040485817695,0.557420628521117,0.999441924530329
"64",27,"slc24a5",0.00200796598981075,0.0964620876485553,0.999441924530329
"65",27,"LOC111565754",-0.00121661600213337,0.543954286696654,0.999441924530329
"66",27,"sema6dl",0.00186508802273416,0.651967954144262,0.999441924530329
"67",27,"LOC118470001",0.000836631186457339,0.871247837259462,0.999441924530329
"68",27,"dmxl2",-0.00376456179033908,0.217611278482271,0.999441924530329
"69",27,"gldn",0.000224978223338744,0.803206333919222,0.999441924530329
"70",27,"LOC111565746",0.000182406627625655,0.90287013137733,0.999441924530329
"71",27,"tnfaip8l3",-0.00045609214843136,0.821747522630965,0.999441924530329
"72",27,"scg3",0.000560858985182214,0.914430290567063,0.999441924530329
"73",27,"lysmd2",-0.000578610516298565,0.830605965804791,0.999441924530329
"74",27,"tmod2",0.0032104396890701,0.0881828217224063,0.999441924530329
"75",27,"leo1",0.00058890441809438,0.715292942159012,0.999441924530329
"76",27,"mapk6",-0.00124757282939061,0.794341119975929,0.999441924530329
"77",27,"LOC118471234",0.000370442687150088,0.753778463004283,0.999441924530329
"78",27,"usp8",-0.00389137777071832,0.226542077548687,0.999441924530329
"79",27,"LOC111577621",-0.000464130381281132,0.646883351927124,0.999441924530329
"80",27,"LOC129349535",-0.000246537022018067,0.837707487979414,0.999441924530329
"81",27,"LOC129349407",0.000633655932192363,0.0857697866407793,0.999441924530329
"82",27,"pde8a",-0.00262159933806191,0.6631403971209,0.999441924530329
"83",27,"LOC111563916",-0.000229203401701427,0.900652187914565,0.999441924530329
"84",27,"LOC111563902",0.00137302743346409,0.392636727629808,0.999441924530329
"85",27,"LOC111563893",-0.00332389845623294,0.235589124100597,0.999441924530329
"86",27,"homer2",0.00444712509182077,0.52477031085608,0.999441924530329
"87",27,"ramac",-0.000552557579789172,0.790822353581584,0.999441924530329
"88",27,"LOC111567331",-0.00364610377704817,0.234597861925096,0.999441924530329
"89",27,"zrsr2",-0.00212738971758058,0.1581841850923,0.999441924530329
"90",27,"LOC111567330",-0.00189602812487364,0.275772970122599,0.999441924530329
"91",27,"phka2",0.00491998317759426,0.368955493420045,0.999441924530329
"92",27,"ppef1",-0.00380110853699794,0.0579563112380271,0.999441924530329
"93",27,"cdkl5",-0.00195001844374591,0.499798584261796,0.999441924530329
"94",27,"scml2",0.00461183293004868,0.0421224252000616,0.999441924530329
"95",27,"nhsb",-0.00110667112108264,0.836191839382385,0.999441924530329
"96",27,"ace2",0.00147707223609553,0.708044475884165,0.999441924530329
"97",27,"zgc:113276",0.000727576672856757,0.119556779181047,0.999441924530329
"98",27,"pir",-0.0012070607753109,0.0503312381298232,0.999441924530329
"99",27,"vegfd",0.00315055568769235,0.256036946460037,0.999441924530329
"100",27,"LOC129350612",0.000491869085178849,0.584464375614089,0.999441924530329
"101",27,"LOC111566424",-0.00132794626227265,0.0918150525794015,0.999441924530329
"102",27,"ildr1a",0.000345247249832815,0.803206333919222,0.999441924530329
"103",27,"tmem39a",-0.00219105452368562,0.115603981970787,0.999441924530329
"104",27,"LOC111566421",-1.49169167705035e-05,0.981915478590663,0.999441924530329
"105",27,"LOC111564828",0.00236681808315934,0.417381745088307,0.999441924530329
