"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Kif1a.10",2.49776242381647e-06,0.143749682393123,0.736,0.631,0.0276926919928532,"19","Kif1a"
"Mpp4.5",2.50063222682372e-06,0.539790621110765,0.051,0.026,0.0277245094987946,"19","Mpp4"
"Ptprs.16",2.58260129874874e-06,-0.450335398415616,0.792,0.717,0.0286333005992272,"19","Ptprs"
"Chrm5.19",2.67956652229287e-06,0.444687110265975,0.085,0.051,0.0297083540326611,"19","Chrm5"
"Ccdc102a.13",2.70266480252985e-06,0.464240769821521,0.22,0.165,0.0299644446656485,"19","Ccdc102a"
"AU018091.14",2.73205931323672e-06,0.263021819274059,0.115,0.075,0.0302903416058555,"19","AU018091"
"Gje1.1",2.73649312898703e-06,2.01933520894128,0.01,0.003,0.0303394993210792,"19","Gje1"
"Dzip1.12",2.80651940599362e-06,0.399970009811496,0.088,0.053,0.0311158806542512,"19","Dzip1"
"Antxrl.16",2.81091574070643e-06,-4.3700714031713,0.002,0.026,0.0311646228172122,"19","Antxrl"
"Atp2c1.9",2.81155440298255e-06,0.230748102422505,0.238,0.181,0.0311717036658675,"19","Atp2c1"
"Klhl5.16",2.82955621659587e-06,0.390700774328766,0.249,0.192,0.0313712897733984,"19","Klhl5"
"Mtus1.15",2.92598767003683e-06,0.123049892242127,0.559,0.468,0.0324404252976983,"19","Mtus1"
"Cdc14a.19",3.15214017946112e-06,-3.42273810894215,0.012,0.041,0.0349477781696854,"19","Cdc14a"
"Dusp26.13",3.29583123188803e-06,0.45273407182673,0.184,0.134,0.0365408808679426,"19","Dusp26"
"Setd5.9",3.31648264891495e-06,0.294712599316479,0.23,0.175,0.0367698431285201,"19","Setd5"
"Tm7sf2.11",3.3440655313694e-06,1.26523154680419,0.026,0.01,0.0370756545462925,"19","Tm7sf2"
"Nherf1.14",3.35050139704963e-06,-1.8161905940746,0.036,0.075,0.0371470089890892,"19","Nherf1"
"Eva1a.18",3.42705321465021e-06,-3.63741910469132,0.003,0.028,0.0379957389908269,"19","Eva1a"
"Tsc22d3.12",3.44094749139296e-06,-1.57674813405443,0.079,0.127,0.0381497848370738,"19","Tsc22d3"
"Xkr4.13",3.49438842794465e-06,0.186104721087588,0.468,0.39,0.0387422845006223,"19","Xkr4"
"Tmem235.18",3.50701847875807e-06,0.729868196392009,0.132,0.089,0.0388823138739908,"19","Tmem235"
"Erbb3.15",3.54691790409996e-06,-3.04910286809084,0.025,0.06,0.0393246788027563,"19","Erbb3"
"Tspan4.18",3.56717829065713e-06,-0.678291038069429,0.477,0.501,0.0395493057085156,"19","Tspan4"
"Cyfip1.18",3.60406780236174e-06,-4.69234577826781,0.003,0.028,0.0399582997247847,"19","Cyfip1"
