"","cluster","gene","Mass_estimate","Mass_summary_p.value","Mass_summary_q.value"
"312",10,"smyd2a",-0.000686399589504773,0.603022723501521,0.996794864902951
"313",10,"LOC129349826",-9.36088662178606e-05,0.789965915246615,0.996794864902951
"314",10,"adpgk2",-0.00262821673515544,0.262434871507491,0.996794864902951
"315",10,"ctsba",-0.0012735607173894,0.456952001891843,0.996794864902951
"316",10,"xkr5b",-0.000828019403528479,0.59065238655527,0.996794864902951
"317",10,"itsn2b",-0.000362071794385606,0.42816425218561,0.996794864902951
"318",10,"gcfc2",0.00123567082244182,0.333447520899599,0.996794864902951
"319",10,"LOC111585013",-0.000282360053443321,0.77824349192379,0.996794864902951
"320",10,"tfb2m",0.000576789758687672,0.411917279034468,0.996794864902951
"321",10,"cnsta",-0.00110685824866542,0.449213817248448,0.996794864902951
"322",10,"smyd3",-0.00229352487652985,0.218418220091776,0.996794864902951
