,gene,av_p.value,warning,singular,av_q.value,f_m_p.value,d_m_p.value,d_f_p.value,f_m_estimate,d_m_estimate,d_f_estimate,cluster
105,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
106,LOC111564834,0.513750353,NA,FALSE,1,NA,NA,NA,NA,NA,NA,6_3
107,LOC111564858,1,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
108,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
109,gpalpp1,0.805493324,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
110,ercc3,0,Model failed to converge with max|grad| = 0.014276,FALSE,NA,NA,NA,NA,NA,NA,NA,6_3
111,rbm26,0.604055313,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
112,"Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
","Error in .dsy2dpo(.M2sym(from)) : 
  not a positive definite matrix (and positive semidefiniteness is not checked)
",NA,NA,NA,NA,NA,NA,NA,6_3
113,LOC111562565,0.784452855,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
114,tdrd3,0.724270231,NA,TRUE,1,NA,NA,NA,NA,NA,NA,6_3
