"","cluster","gene","behavior_p.value","behavior_estimate","behavior_p.value.1","behavior_q.value"
"2603",4,"coro2aa",0.390744209464986,-2.16703362387431e-05,0.390744209464986,0.996892528797092
"2604",4,"uso1",0.186610395534371,0.000102627533460707,0.186610395534371,0.996892528797092
"2605",4,"g3bp2a",0.550000196659481,5.06608278915691e-05,0.550000196659481,0.996892528797092
"2606",4,"pkd2",0.367996568491073,1.91913491449607e-05,0.367996568491073,0.996892528797092
"2607",4,"ppm1kb",0.842619448055091,1.15014699868498e-05,0.842619448055091,0.997382279771841
"2608",4,"herc3",0.997124007190342,2.78151521577659e-07,0.997124007190342,0.999769955862434
"2609",4,"LOC111583083",0.464428703610155,-9.87118568265228e-06,0.464428703610155,0.996892528797092
"2610",4,"gprin3b",0.197226257197853,3.18712295047013e-05,0.197226257197853,0.996892528797092
"2611",4,"elmod2",0.295869872344771,-3.62412039392705e-05,0.295869872344771,0.996892528797092
"2612",4,"LOC129348647",0.0517958436779957,2.60405259885978e-05,0.0517958436779957,0.996892528797092
"2613",4,"tbc1d9",0.401768030243707,-8.21136118387981e-05,0.401768030243707,0.996892528797092
"2614",4,"LOC111568832",0.680078477973487,-7.92868055203574e-06,0.680078477973487,0.996892528797092
"2615",4,"LOC111568838",0.252115376492857,-2.4169553480908e-05,0.252115376492857,0.996892528797092
"2616",4,"rnf150a",0.446026142005988,3.40844787102102e-05,0.446026142005988,0.996892528797092
"2617",4,"znf330",0.263012524159308,1.32994049776904e-05,0.263012524159308,0.996892528797092
"2618",4,"inpp4b",0.849267575898491,4.97763108224928e-06,0.849267575898491,0.997382279771841
"2619",4,"gab1",0.270833698663012,0.000191607878329154,0.270833698663012,0.996892528797092
"2620",4,"usp38",0.230965524842105,4.0465984186022e-05,0.230965524842105,0.996892528797092
"2621",4,"smarca5",0.256333290418908,-2.9364621210484e-05,0.256333290418908,0.996892528797092
"2622",4,"LOC111581047",0.335200894866818,-1.39962906264375e-05,0.335200894866818,0.996892528797092
"2623",4,"LOC129348675",0.853074893439795,1.83130699514765e-06,0.853074893439795,0.997382279771841
"2624",4,"LOC111581049",0.175952007607541,1.39459498167142e-05,0.175952007607541,0.996892528797092
"2625",4,"ptp4a1",0.47835805278317,-2.93323342421777e-05,0.47835805278317,0.996892528797092
"2626",4,"LOC111581048",0.0197895664692724,1.81757943136368e-05,0.0197895664692724,0.996892528797092
"2627",4,"myom2a",0.97337648004697,3.55879335778809e-07,0.97337648004697,0.999135840531757
"2628",4,"LOC111581369",0.0891259845726814,0.000100716802356133,0.0891259845726814,0.996892528797092
