"","cells_expressing_D","cells_expressing_F","cells_expressing_M","cells_total_D","cells_total_F","cells_total_M","prop_expressing_D","prop_expressing_F","prop_expressing_M","anova_p.value","d_f_p.value","d_m_p.value","f_m_p.value","singular","warning","gene","cluster","anova_q.value","d_f_q.value","d_m_q.value","f_m_q.value"
"13266",4,2,1,695,850,194,0.00575539568345324,0.00235294117647059,0.00515463917525773,0.576462062949135,0.300677704762519,0.921232971010312,0.521353751560479,TRUE,NA,"epor",6,0.886423104257428,0.692412435372225,0.996769558529849,0.888910352397437
"13267",10,6,1,695,850,194,0.0143884892086331,0.00705882352941176,0.00515463917525773,0.349311469578684,0.216115522562334,0.329691847370102,0.754529725802954,FALSE,NA,"rab3db",6,0.816917575045304,0.649201086288075,0.996769558529849,0.958733368208277
"13268",27,21,4,695,850,194,0.0388489208633093,0.0247058823529412,0.0206185567010309,0.20005846254765,0.113911845249631,0.228822458173686,0.737216292618401,TRUE,NA,"tmem205",6,0.739526008181507,0.553064540266549,0.996769558529849,0.9585782909408
"13269",3,1,1,695,850,194,0.00431654676258993,0.00117647058823529,0.00515463917525773,0.478567234607207,0.25957476485264,0.877597303281075,0.295641972832475,TRUE,NA,"LOC129347534",6,0.864577711640659,0.673692827439964,0.996769558529849,0.800946193284601
"13270",27,21,4,695,850,194,0.0388489208633093,0.0247058823529412,0.0206185567010309,0.439672182793175,0.285272303988434,0.326858096940196,0.765892843193474,FALSE,"unable to evaluate scaled gradient","elof1",6,0.850006248838006,0.686964267279549,0.996769558529849,0.958733368208277
"13271",3,5,1,695,850,194,0.00431654676258993,0.00588235294117647,0.00515463917525773,0.913576381528017,0.670901400445148,0.877597273504228,0.903769222520141,TRUE,NA,"cnn1b",6,0.977987315053756,0.888616258815991,0.996769558529849,0.983271888792341
"13272",38,35,10,695,850,194,0.0546762589928058,0.0411764705882353,0.0515463917525773,0.636377183639062,0.367076802656054,0.960571902187289,0.511968888354916,FALSE,NA,"tlcd4b",6,0.903145308390606,0.727485772064728,0.998046553591426,0.888910352397437
"13273",203,269,46,695,850,194,0.292086330935252,0.316470588235294,0.237113402061856,0.450347411824163,0.633181827394651,0.206668106074667,0.397709969283521,FALSE,NA,"plppr2a",6,0.855390941231768,0.870533555241835,0.996769558529849,0.853122216824161
"13274",72,61,27,695,850,194,0.103597122302158,0.0717647058823529,0.139175257731959,0.0562672720277071,0.141845102671966,0.245663182021355,0.0182928943602386,FALSE,NA,"nfil3-6",6,0.546978408321915,0.589077243319287,0.996769558529849,0.363341922051461
"13275",92,75,13,695,850,194,0.132374100719424,0.0882352941176471,0.0670103092783505,0,0,0,0,FALSE,"Model failed to converge with max|grad| = 0.009477","nfil3-2",6,0,0,0,0
"13276",28,20,8,695,850,194,0.0402877697841727,0.0235294117647059,0.0412371134020619,0.424790181326855,0.242449723610731,0.925878727937004,0.274613112160018,FALSE,NA,"LOC111570607",6,0.849112265465632,0.673492796349912,0.998046553591426,0.800946193284601
"13277",7,5,2,695,850,194,0.0100719424460432,0.00588235294117647,0.0103092783505155,0.619915777427458,0.356457530000881,0.976707633647573,0.501012785207142,TRUE,NA,"LOC111570603",6,0.900218742096475,0.727485772064728,0.998046553591426,0.888910352397437
"13278",21,24,4,695,850,194,0.0302158273381295,0.0282352941176471,0.0206185567010309,0.776685586205484,0.817890952993911,0.477345029936037,0.555147008297948,TRUE,NA,"gcdhb",6,0.943188769586159,0.942027238945899,0.996769558529849,0.904642353748525
"13279",10,11,4,695,850,194,0.0143884892086331,0.0129411764705882,0.0206185567010309,0.723392576991152,0.806997467528545,0.539896358311985,0.421664126131232,TRUE,NA,"LOC129347676",6,0.926499523868378,0.939223754302163,0.996769558529849,0.865796725628167
"13280",21,22,11,695,850,194,0.0302158273381295,0.0258823529411765,0.0567010309278351,0.0906354945808303,0.606798002753524,0.0849164031420183,0.0308821255448494,TRUE,NA,"farsa",6,0.629330514465783,0.851019497688522,0.996769558529849,0.444202965883487
"13281",156,141,36,695,850,194,0.224460431654676,0.165882352941176,0.185567010309278,0.0762633959772275,0.0240270533046576,0.321280021811468,0.519945765704574,FALSE,NA,"ilf3b",6,0.607852360688307,0.356333779000928,0.996769558529849,0.888910352397437
"13282",158,144,43,695,850,194,0.227338129496403,0.169411764705882,0.221649484536082,0.293188204457314,0.128014304486594,0.790882400003106,0.305499592202605,FALSE,NA,"wizb",6,0.789853229457097,0.574605725953716,0.996769558529849,0.809210805717011
"13283",20,16,4,695,850,194,0.0287769784172662,0.0188235294117647,0.0206185567010309,0.423804046616328,0.200281448624673,0.53720291063652,0.869322587550593,TRUE,NA,"LOC111568499",6,0.848521901670497,0.631723846558508,0.996769558529849,0.983271888792341
"13284",105,104,34,695,850,194,0.151079136690647,0.122352941176471,0.175257731958763,0.49316045021428,0.590673250430046,0.451888307215075,0.234441196338977,FALSE,NA,"mcoln1b",6,0.870307651238674,0.839290733293327,0.996769558529849,0.797452042458202
"13285",155,169,39,695,850,194,0.223021582733813,0.198823529411765,0.201030927835052,0.967071056134165,0.799620069573366,0.953240263868457,0.872146611347655,FALSE,NA,"prr36b",6,0.991270187898961,0.939223754302163,0.998046553591426,0.983271888792341
"13286",50,43,12,695,850,194,0.0719424460431655,0.0505882352941176,0.0618556701030928,0.654733484980942,0.374873340190909,0.901144339367201,0.527788267495666,FALSE,NA,"pkn1b",6,0.903196959498761,0.731384168877288,0.996769558529849,0.892864682549602
"13287",3,2,1,695,850,194,0.00431654676258993,0.00235294117647059,0.00515463917525773,0.903995784511639,0.839363649871743,0.780286678664206,0.653348196762061,FALSE,NA,"si:ch211-106h11.1",6,0.976373863801456,0.945936399352,0.996769558529849,0.93648118232783
"13288",30,44,13,695,850,194,0.0431654676258993,0.0517647058823529,0.0670103092783505,0.386559580132627,0.431644083140127,0.174492315163138,0.400347854800124,TRUE,NA,"ddx39ab",6,0.832593722525498,0.769415103490576,0.996769558529849,0.854370598113176
"13289",33,46,10,695,850,194,0.0474820143884892,0.0541176470588235,0.0515463917525773,0.840767770036541,0.556081544478533,0.815577565107051,0.885963683691743,TRUE,NA,"txn2",6,0.958617244456592,0.822462075756358,0.996769558529849,0.983271888792341
"13290",4,6,3,695,850,194,0.00575539568345324,0.00705882352941176,0.0154639175257732,0.397782457388052,0.751027334807887,0.193769747182207,0.265295072112402,TRUE,NA,"LOC111570689",6,0.839355636003522,0.917197000627082,0.996769558529849,0.800946193284601
"13291",9,12,3,695,850,194,0.0129496402877698,0.0141176470588235,0.0154639175257732,0.959558175955377,0.843681970992749,0.788716630642657,0.886976456345745,TRUE,NA,"LOC111570695",6,0.988938715229767,0.947253831814435,0.996769558529849,0.983271888792341
"13292",92,107,28,695,850,194,0.132374100719424,0.125882352941176,0.144329896907216,0.892587802377693,0.702765146355283,0.678207559610481,0.932460629919855,FALSE,NA,"rpsa",6,0.973688478316875,0.898235444355985,0.996769558529849,0.983271888792341
"13293",52,50,5,695,850,194,0.0748201438848921,0.0588235294117647,0.0257731958762887,0.0468577934781645,0.208808297674503,0.0187691282053542,0.0708754768129944,TRUE,NA,"ubn2b",6,0.522817863947958,0.641430231084662,0.752295464806452,0.58789713124188
"13294",70,75,17,695,850,194,0.100719424460432,0.0882352941176471,0.0876288659793814,0.862667463190028,0.60183516295233,0.736445795665029,0.938087754678899,FALSE,NA,"trir",6,0.965915290529759,0.848321204684567,0.996769558529849,0.983671202721688
"13295",58,73,14,695,850,194,0.0834532374100719,0.0858823529411765,0.0721649484536082,0.850556472184113,0.854859127905823,0.65952645573893,0.56967568370451,FALSE,NA,"hook2",6,0.961781184901942,0.953526354482252,0.996769558529849,0.904804841352242
"13296",159,237,33,695,850,194,0.228776978417266,0.278823529411765,0.170103092783505,0.130454133343118,0.279524289271103,0.250434698770433,0.0456580571934939,FALSE,NA,"junbb",6,0.685154614373155,0.684236814715468,0.996769558529849,0.507737037878947
"13297",48,46,6,695,850,194,0.0690647482014388,0.0541176470588235,0.0309278350515464,0.117681731225063,0.222512763953861,0.0557026602047684,0.186174165362463,TRUE,NA,"rtbdn",6,0.667902180131746,0.65470631995867,0.996769558529849,0.759568166345456
"13298",107,79,39,695,850,194,0.153956834532374,0.0929411764705882,0.201030927835052,0.166483856007043,0.268558130632724,0.353109268701768,0.0597145727021371,FALSE,NA,"LOC111566393",6,0.719080282600702,0.673692827439964,0.996769558529849,0.559033407794604
"13299",4,3,2,695,850,194,0.00575539568345324,0.00352941176470588,0.0103092783505155,0.498039927461099,0.521039380183541,0.499426001432474,0.239117076244845,TRUE,NA,"LOC111566401",6,0.872088911654383,0.804993347132299,0.996769558529849,0.797452042458202
"13300",194,196,50,695,850,194,0.279136690647482,0.230588235294118,0.257731958762887,0.585065345018688,0.301953816581495,0.643798297156003,0.71219358009988,FALSE,NA,"smarca4a",6,0.890266847366822,0.693785381684164,0.996769558529849,0.956173388020757
"13301",21,18,10,695,850,194,0.0302158273381295,0.0211764705882353,0.0515463917525773,0.112999575977989,0.356524060329565,0.177807970832095,0.0368673564312277,FALSE,NA,"kri1",6,0.665872448377991,0.727485772064728,0.996769558529849,0.47160079293257
"13302",28,17,5,695,850,194,0.0402877697841727,0.02,0.0257731958762887,0.0771202341787654,0.0256862818136188,0.35238553082506,0.611974321384122,FALSE,NA,"hmgxb4a",6,0.609450399084579,0.367347797424528,0.996769558529849,0.923736910287566
"13303",7,5,6,695,850,194,0.0100719424460432,0.00588235294117647,0.0309278350515464,0.0167635450767254,0.356457519878794,0.0420826564218405,0.00580337644416972,TRUE,NA,"LOC129347576",6,0.341806856129465,0.727485772064728,0.996769558529849,0.190940267290355
"13304",38,27,9,695,850,194,0.0546762589928058,0.0317647058823529,0.0463917525773196,0,0,1.65028821983875e-185,7.67247703310057e-235,FALSE,"Model failed to converge with max|grad| = 0.009841","ankrd54",6,0,0,1.45941361409444e-183,8.90540146744742e-233
"13305",52,37,8,695,850,194,0.0748201438848921,0.0435294117647059,0.0412371134020619,0.288768901774209,0.192686856470882,0.210046276909275,0.779068489200822,FALSE,NA,"foxred2",6,0.788467328165768,0.631723846558508,0.996769558529849,0.958733368208277
"13306",4,6,2,695,850,194,0.00575539568345324,0.00705882352941176,0.0103092783505155,0.800904688503092,0.693392476270313,0.511481192075721,0.7201582921684,FALSE,NA,"mcm5",6,0.948275864706855,0.894701384533141,0.996769558529849,0.9585782909408
"13307",13,33,3,695,850,194,0.018705035971223,0.0388235294117647,0.0154639175257732,0,0,2.18607841756871e-75,0,FALSE,"Model failed to converge with max|grad| = 0.007392","gcat",6,0,0,1.66840706261386e-73,0
"13308",74,86,23,695,850,194,0.106474820143885,0.101176470588235,0.118556701030928,0.93232612790789,0.991800572650084,0.734023556298915,0.732286703920742,FALSE,NA,"tom1",6,0.983086171336349,0.997350025345858,0.996769558529849,0.9585782909408
"13309",34,17,12,695,850,194,0.0489208633093525,0.02,0.0618556701030928,0.641708073539429,0.893790799097715,0.448687480901237,0.387569903436157,FALSE,NA,"zgc:171844",6,0.903196959498761,0.962974825922305,0.996769558529849,0.843823499686328
"13310",32,23,6,695,850,194,0.0460431654676259,0.0270588235294118,0.0309278350515464,0.438847686905708,0.23671332172303,0.397125178062444,0.978619044632003,FALSE,NA,"ntn1b",6,0.849558832092753,0.667427271514179,0.996769558529849,0.994301418504216
"13311",246,216,106,695,850,194,0.353956834532374,0.254117647058824,0.54639175257732,0.145747422202151,0.450343257929575,0.202508833840209,0.0521941763146803,FALSE,NA,"usp43b",6,0.701389883243712,0.779205843036496,0.996769558529849,0.531935038368029
"13312",4,3,1,695,850,194,0.00575539568345324,0.00352941176470588,0.00515463917525773,0.887873965395945,0.633816331733144,0.952435352572624,0.775218764959582,FALSE,NA,"LOC111568191",6,0.973688478316875,0.870533555241835,0.998046553591426,0.958733368208277
"13313",147,128,38,695,850,194,0.211510791366906,0.150588235294118,0.195876288659794,0.441341848939087,0.200907223471655,0.612739686641715,0.542628345584651,FALSE,NA,"grb2b",6,0.850140591170072,0.632742290014179,0.996769558529849,0.90029165974875
"13314",6,7,2,695,850,194,0.00863309352517986,0.00823529411764706,0.0103092783505155,0.973727139725752,0.947475980755009,0.856466537393609,0.817792602937233,FALSE,NA,"LOC129347578",6,0.993582137568756,0.984023556551402,0.996769558529849,0.97510878938283
"13315",152,152,38,695,850,194,0.218705035971223,0.178823529411765,0.195876288659794,0.681965524170528,0.389804991546111,0.629995308202471,0.817093109134227,FALSE,NA,"LOC111567909",6,0.90910605925875,0.741994268022657,0.996769558529849,0.975035231084245
"13316",103,112,26,695,850,194,0.148201438848921,0.131764705882353,0.134020618556701,0.645485149437665,0.360947351775393,0.623453210286877,0.930702644363986,FALSE,NA,"smurf2",6,0.903196959498761,0.727485772064728,0.996769558529849,0.983271888792341
"13317",134,142,31,695,850,194,0.192805755395683,0.167058823529412,0.15979381443299,0.533333748439704,0.363155734570278,0.343130610061799,0.831846604017297,FALSE,NA,"ddx5",6,0.876724108907828,0.727485772064728,0.996769558529849,0.977291110459642
"13318",251,189,68,695,850,194,0.361151079136691,0.222352941176471,0.350515463917526,0.0681601581931354,0.0282607838457558,0.8380342232714,0.0886531274107716,FALSE,NA,"LOC111568805",6,0.578373804093049,0.378414423358499,0.996769558529849,0.623961652466424
"13319",24,15,5,695,850,194,0.0345323741007194,0.0176470588235294,0.0257731958762887,0.11784538881607,0.038749728676248,0.545133480297592,0.458931965416877,TRUE,NA,"ddx47",6,0.667902180131746,0.41360187201096,0.996769558529849,0.886591551419235
"13320",41,35,10,695,850,194,0.0589928057553957,0.0411764705882353,0.0515463917525773,0.275575774853541,0.109006671567002,0.693542883179888,0.521933341577327,TRUE,NA,"LOC111568797",6,0.784124062604875,0.551049300450813,0.996769558529849,0.888910352397437
"13321",8,9,2,695,850,194,0.0115107913669065,0.0105882352941176,0.0103092783505155,0.977340405522157,0.840224654772373,0.887406539611669,0.988299525433831,FALSE,NA,"plekhf1",6,0.99556725608833,0.945936399352,0.996769558529849,0.996554000823886
"13322",218,248,64,695,850,194,0.313669064748201,0.291764705882353,0.329896907216495,0.950687622628746,0.791378130884432,0.954107175057766,0.782172031705913,FALSE,NA,"LOC111568796",6,0.988294123934374,0.935901371230623,0.998046553591426,0.958733368208277
"13323",7,8,2,695,850,194,0.0100719424460432,0.00941176470588235,0.0103092783505155,0.988256757173685,0.89527736149376,0.976707641667696,0.907835894626165,TRUE,NA,"LOC129347530",6,0.996965441779392,0.962974825922305,0.998046553591426,0.983271888792341
"13324",177,165,50,695,850,194,0.254676258992806,0.194117647058824,0.257731958762887,0.593412305482676,0.390724537508847,0.881762503440719,0.37031065605378,FALSE,NA,"zgc:65811",6,0.892414366909974,0.741994268022657,0.996769558529849,0.838910939710766
"13325",2,3,2,695,850,194,0.00287769784172662,0.00352941176470588,0.0103092783505155,0.375544782870281,0.822766075662847,0.200795975959857,0.239117041181632,TRUE,NA,"LOC129347658",6,0.827800828195582,0.942027238945899,0.996769558529849,0.797452042458202
"13326",5,4,1,695,850,194,0.00719424460431655,0.00470588235294118,0.00515463917525773,0.809897475120937,0.525664194996435,0.76008607783244,0.934914205470994,TRUE,NA,"LOC111569574",6,0.948275864706855,0.804993347132299,0.996769558529849,0.983271888792341
