"Barcode","Seurat_res0.2","Seurat_res0.4","Sample","Slice","Sex","Region"
"cellid_000000337-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000338-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000339-1","c_01","c_02","M_1_4P10","4P10","M","none"
"cellid_000000341-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000342-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000343-1","c_03","c_24","M_1_4P10","4P10","M","Dm"
"cellid_000000344-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000345-1","c_07","c_06","M_1_4P10","4P10","M","Dm"
"cellid_000000346-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000347-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000348-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000349-1","c_12","c_23","M_1_4P10","4P10","M","Dm"
"cellid_000000350-1","c_12","c_23","M_1_4P10","4P10","M","Dm"
"cellid_000000351-1","c_07","c_06","M_1_4P10","4P10","M","Dm"
"cellid_000000352-1","c_01","c_16","M_1_4P10","4P10","M","Dm"
"cellid_000000353-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000354-1","c_05","c_09","M_1_4P10","4P10","M","Dm"
"cellid_000000355-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000356-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000358-1","c_07","c_06","M_1_4P10","4P10","M","Dm"
"cellid_000000359-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000360-1","c_01","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000363-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000364-1","c_01","c_03","M_1_4P10","4P10","M","none"
"cellid_000000365-1","c_01","c_16","M_1_4P10","4P10","M","Dm"
"cellid_000000366-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000367-1","c_01","c_11","M_1_4P10","4P10","M","Dm"
"cellid_000000368-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000369-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000370-1","c_01","c_29","M_1_4P10","4P10","M","Dm"
"cellid_000000371-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000372-1","c_01","c_03","M_1_4P10","4P10","M","none"
"cellid_000000373-1","c_01","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000374-1","c_01","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000375-1","c_08","c_17","M_1_4P10","4P10","M","Dm"
"cellid_000000376-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000378-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000379-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000380-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000381-1","c_15","c_26","M_1_4P10","4P10","M","Dm"
"cellid_000000382-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000383-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000384-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000385-1","c_02","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000386-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000387-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000389-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
