"","cluster","gene","length_estimate","length_summary_p.value","length_summary_q.value"
"16137",3,"LOC111569643",0.000639563228425179,0.709844024361716,0.968771775863614
"16138",3,"LOC111569642",-0.00845574431554315,0.180817433058447,0.90684258410696
"16139",3,"qpct",-0.00532619334266259,0.0298550834090744,0.584802875959511
"16140",3,"mocs3",-0.00189934829923419,0.237198437442667,0.90684258410696
"16141",3,"nkx2.2a",0.00086097540675912,0.32046631267494,0.90684258410696
"16142",3,"LOC129347824",-3.68252932372477e-05,0.948591786020536,0.985243967207375
"16143",3,"LOC129347722",0.000193146546583155,0.867524331662595,0.984501786291203
"16144",3,"kiz",0.00142029961872679,0.458710800719289,0.925864549250979
"16145",3,"ralgapa2",0.00168738403539138,0.595362551372391,0.928443628264697
"16146",3,"insm1b",-0.000232668557378608,0.913856338195999,0.985243967207375
"16147",3,"gale",-0.000855311982965454,0.388071573447053,0.91342898326388
"16148",3,"zbtb8a",-0.000643075538535639,0.463366619471999,0.925864549250979
"16149",3,"hmgcl",0.000784030044309393,0.72964309695334,0.971912860862288
"16150",3,"LOC129347755",0.00053085656513081,0.376272986860404,0.90684258410696
"16151",3,"ppie",0.0021702140350021,0.0911141050318958,0.872705935792433
"16152",3,"LOC111578469",-0.00309095333764962,0.173869992149375,0.90684258410696
"16153",3,"lck",0.000442869948233367,0.560191652686052,0.925864549250979
"16154",3,"zgc:154055",0.000379628665442488,0.376272986860404,0.90684258410696
"16155",3,"tdh2",0.000256017339650324,0.376272986860404,0.90684258410696
"16156",3,"srrm1",0.000400983323691591,0.97901851531922,0.994072973036854
"16157",3,"clic4",0.000948626591658825,0.866708664567356,0.984501786291203
"16158",3,"syf2",-0.000134376597723143,0.987590791332007,0.996486194653741
"16159",3,"rsrp1",-0.00202685692696671,0.825634337834793,0.984501786291203
"16160",3,"mgst3b",0.000176221197374165,0.971987017148257,0.99248905111318
"16161",3,"tmem50a",-0.00134191277310429,0.893325279363688,0.985243967207375
"16162",3,"rhd",0.000442910180146887,0.376272986860404,0.90684258410696
"16163",3,"maco1b",0.00525168811599757,0.478148406937756,0.925864549250979
"16164",3,"ldlrap1b",0.0155223000496259,0.150368284669469,0.90684258410696
"16165",3,"LOC111574661",0.000423371293346574,0.560191652686052,0.925864549250979
