,individual,status,prediction,cluster
0,A12D,E,0.5419860561910239,20
1,A22D,D,0.31933071750815495,20
2,A25D,D,0.4465131520119025,20
3,C21D,D,0.412178204679433,20
4,T11D,E,0.5534454701046979,20
5,T13D,D,0.31432817893929366,20
6,T14D,D,0.5879179884698432,20
7,T17D,NF,0.3165727244151556,20
8,T19D,D,0.39102661104301967,20
9,T5D,D,0.31681889424188525,20
0,A12D,E,0.39102912781217564,22
1,A22D,D,0.43630376552055217,22
2,A25D,D,0.3931451187401371,22
3,C21D,D,0.4196872421609595,22
4,T11D,E,0.4258072910647563,22
5,T13D,D,0.39883379263015317,22
6,T14D,D,0.43737076778279915,22
7,T17D,NF,0.42457118902737384,22
8,T19D,D,0.4028378288987323,22
9,T5D,D,0.4217055444401763,22
0,A12D,E,0.44829461889252464,23
1,A22D,D,0.5262048255983989,23
2,A25D,D,0.498582256385577,23
3,C21D,D,0.541177651676611,23
4,T11D,E,0.503445392978998,23
5,T13D,D,0.5079036747922373,23
6,T14D,D,0.5337834446909954,23
7,T17D,NF,0.5396722400129241,23
8,T19D,D,0.4722317538918893,23
9,T5D,D,0.5249633316438027,23
0,A12D,E,0.5269070598496982,24
1,A22D,D,0.4798399587964142,24
2,A25D,D,0.44132684025728935,24
3,C21D,D,0.5063152227213367,24
4,T11D,E,0.5290605183512134,24
5,T13D,D,0.39562928203653547,24
6,T14D,D,0.4052679180790922,24
7,T17D,NF,0.4196557833388693,24
8,T19D,D,0.49924532064096777,24
9,T5D,D,0.40873108632948824,24
0,A12D,E,0.49838782316247787,25
1,A22D,D,0.49905501642980615,25
2,A25D,D,0.49847892145371664,25
3,C21D,D,0.5000858594242368,25
4,T11D,E,0.49989428761494004,25
5,T13D,D,0.500357970063744,25
6,T14D,D,0.49575694709135426,25
7,T17D,NF,0.5031774245290959,25
8,T19D,D,0.4968240084129229,25
9,T5D,D,0.503871969069997,25
