"gene","av_p","positive_p","interaction_p","d_m_p.value","d_f_p.value","f_m_p.value","d_m_estimate","d_f_estimate","f_m_estimate","int_d_p.value","int_f_p.value","int_m_p.value","int_d_estimate","int_f_estimate","int_m_estimate","singular","warning","error","av_q","interaction_q","positive_q"
"ewsr1b",0.525757261924225,0.652038005482394,0.507429511200578,0.171083830163055,0.515353023662357,0.37465098936447,0.0633565568487743,-0.0257114897671524,0.0376450670816219,0.159583613695655,0.995556372553038,0.653303549048669,0.0760836539536223,-0.000215180757138604,0.0256801994271641,FALSE,NA,NA,0.827169118892003,0.888339930941811,0.838218627551074
"inpp5jb",0.311408212984232,0.559039382216749,0.330473681193333,0.622789205902987,0.636585057599756,0.937986564871077,0.0260878129080404,-0.0222244563961355,0.00386335651190496,0.637393774394584,0.0815406266806684,0.564572676960052,-0.0286019725750483,-0.0831856433906718,0.0410246873626883,FALSE,NA,NA,0.802647882870223,0.777174835290188,0.781472122666328
"LOC111576649",0.674087413247561,0.668669610526527,0.64895003027075,0.258414302869413,0.856836750409327,0.308480727557196,0.0506583560346282,-0.00673208541263734,0.0439262706219908,0.541400668041898,0.556528606463132,0.675112751940005,0.0287134323495825,-0.0216097325589903,-0.0247841304717849,FALSE,NA,NA,0.863879792406989,0.923992060572851,0.848548357154514
"rsrc2",0.678818072797424,0.807423552003418,0.790738763230324,0.249748444831941,0.958768750843559,0.211208595236757,0.0585157880003527,0.00224049380416462,0.0607562818045174,0.707916853965307,0.397536995351392,0.809871540440305,0.0216339876345994,0.0411038531717996,-0.0173148573323598,FALSE,NA,NA,0.863988765716392,0.948826270411195,0.916289648902756
"vps13a",0.478903339842735,0.643721244560167,0.594452775898758,0.283201880490583,0.515235481732116,0.62079578958457,0.0552909895692992,-0.0300795318769822,0.025211457692317,0.315567081411299,0.704643606157792,0.646175825647379,0.0578171665867464,-0.0209112990345809,0.0321646807060666,FALSE,NA,NA,0.822450735613019,0.906469073594307,0.835180942194615
"unc5ca",0.313715701408608,0.218916855511192,0.470336902240106,0.4090469263101,0.966427458698696,0.368847218693176,0.0358138119563687,0.0015592991956612,0.03737311115203,0.272913850496358,0.944370721041547,0.224342678441683,0.0504464593058891,-0.00248387568129527,0.0673921043905327,FALSE,NA,NA,0.802647882870223,0.868536246544254,0.510349703772592
"pde4d",0.285629284054677,0.143897105427194,0.518586467366853,0.451776975447389,0.961615821115691,0.464384843466561,0.0334953220832841,-0.00181877535507233,0.0316765467282117,0.835949702737012,0.800980039370692,0.148894913990954,0.00916798966198953,0.0105231047882862,0.0838965475277332,FALSE,NA,NA,0.802647882870223,0.897106761070722,0.43358772780004
"fbxl17",0.659094944936046,0.916001898748178,0.632925542546343,0.257008075562982,0.824403671931592,0.318559462515327,0.0513010232902045,-0.0080679767881309,0.0432330465020736,0.299751018535812,0.943821820236133,0.917211315968819,0.0494555147782265,-0.00251553790531265,-0.00648473030250804,FALSE,NA,NA,0.863101657314334,0.920223633038816,0.961225996599135
"lzts3b",0.897426980662738,0.360492051224088,0.540154929819011,0.189093439431664,0.830697924354255,0.239970661197699,0.0593265513828621,-0.0083977904519844,0.0509287609308777,0.563736295085123,0.82123009613429,0.364786792312426,0.0290941369125795,0.00955939157739796,-0.0512883006729541,FALSE,NA,NA,0.956738566063424,0.900664893153606,0.64008068047209
"oxt",0.55772830279478,0.564605848545355,0.748086123774609,0.298121779326762,0.627905440565645,0.517889556037344,0.0501825663400261,-0.020398316559522,0.029784249780504,0.744402037809175,0.112880955405812,0.570222501519681,-0.0182005359140568,-0.0690401712717222,-0.0348084272243327,FALSE,NA,NA,0.83262660008137,0.937764171178027,0.784252974461124
