"","gene","av_p.value","warning","singular","av_q.value","cluster"
"121","LOC111564828",0.959390350354942,"unable to evaluate scaled gradient",FALSE,"NA",14
"122","LOC118469910",0.811595317650316,NA,TRUE,"0.999999999964445",14
"123","LOC111564831",0.466924594107507,NA,TRUE,"0.999999999964445",14
"124","stk16",0.771389901415962,NA,TRUE,"0.999999999964445",14
"125","mnx2b",0.935073683413401,NA,TRUE,"0.999999999964445",14
"126","LOC129349502",0.985323574600963,NA,TRUE,"0.999999999964445",14
"127","atic",0.87767439714935,NA,TRUE,"0.999999999964445",14
"128","LOC118469909",0.999999999946953,NA,TRUE,"0.999999999964445",14
"129","psmd14",0.906192165727492,NA,TRUE,"0.999999999964445",14
"130","rbms1a",0.188393896586408,NA,TRUE,"0.999999999964445",14
"131","itgb6",0.891280586173268,"unable to evaluate scaled gradient",FALSE,"NA",14
"132","pla2r1",0.99999989298432,NA,TRUE,"0.999999999964445",14
"133","ly75",0.193408782107631,NA,TRUE,"0.999999999964445",14
"134","marchf7",0.598014633591074,NA,TRUE,"0.999999999964445",14
"135","baz2ba",0.533440957656082,NA,FALSE,"0.999999999964445",14
"136","wdsub1",0.132142025594859,NA,TRUE,"0.999999999964445",14
"137","LOC111564834",0.397709548436733,NA,FALSE,"0.999999999964445",14
"138","LOC111564858",0.799394407812236,NA,FALSE,"0.999999999964445",14
"139","gtf2f2a",0.375791869372278,NA,TRUE,"0.999999999964445",14
"140","gpalpp1",0.415418596561347,NA,TRUE,"0.999999999964445",14
"141","ercc3",0.533998961829744,NA,FALSE,"0.999999999964445",14
"142","LOC111564848",0.140031511152747,NA,TRUE,"0.999999999964445",14
"143","rbm26",0.966771679870873,NA,FALSE,"0.999999999964445",14
"144","LOC118469912",0.461855719757088,NA,TRUE,"0.999999999964445",14
"145","obi1",0.932549504528081,NA,TRUE,"0.999999999964445",14
"146","pou4f1",0.9999999623889,NA,TRUE,"0.999999999964445",14
"147","LOC129349311",0.0613996748609307,NA,FALSE,"0.999999999964445",14
"148","LOC111562565",0.13162456054847,NA,FALSE,"0.999999999964445",14
"149","LOC111562524",0.466853666608553,NA,FALSE,"0.999999999964445",14
