Barcode,Anatomical
cellid_000000395-1,Dm-3
cellid_000000396-1,Dm-3
cellid_000000397-1,Dm-3
cellid_000000398-1,Dm-3
cellid_000000399-1,Dm-3
cellid_000000400-1,Dm-3
cellid_000000402-1,Vd-r
cellid_000000403-1,Dm-3
cellid_000000404-1,Dm-3
cellid_000000405-1,Dm-3
cellid_000000406-1,Vd-r
cellid_000000407-1,Dm-3
cellid_000000408-1,Dm-3
cellid_000000409-1,Dm-3
cellid_000000410-1,Dm-3
cellid_000000411-1,Dm-3
cellid_000000412-1,Dm-3
cellid_000000413-1,Dm-3
cellid_000000414-1,Vd-r
cellid_000000415-1,Vd-r
cellid_000000416-1,Dm-3
cellid_000000417-1,Dm-3
cellid_000000418-1,Dm-3
cellid_000000419-1,Dm-3
cellid_000000420-1,Dm-3
cellid_000000421-1,Dm-3
cellid_000000422-1,Dm-3
cellid_000000423-1,Vd-r
cellid_000000424-1,Vd-r
cellid_000000425-1,Dm-3
cellid_000000426-1,Dm-3
cellid_000000427-1,Dm-3
cellid_000000428-1,Dm-3
cellid_000000429-1,Dm-3
cellid_000000430-1,Dm-3
cellid_000000431-1,Dm-3
cellid_000000432-1,Vd-r
cellid_000000433-1,Dm-3
cellid_000000434-1,Dm-3
cellid_000000435-1,Vd-r
cellid_000000436-1,Dm-3
cellid_000000437-1,Vd-r
cellid_000000438-1,Vd-r
cellid_000000439-1,Vd-r
cellid_000000440-1,Dm-3
cellid_000000441-1,Dm-3
cellid_000000442-1,Dm-3
cellid_000000443-1,Vd-r
cellid_000000444-1,Dm-3
cellid_000000445-1,Vd-r
cellid_000000446-1,Dm-3
cellid_000000447-1,Vd-r
cellid_000000448-1,Vd-r
cellid_000000449-1,Dm-3
cellid_000000450-1,Dm-3
cellid_000000451-1,Dm-3
cellid_000000452-1,Dm-3
cellid_000000453-1,Dm-3
cellid_000000454-1,Dm-3
cellid_000000455-1,Dm-3
cellid_000000456-1,Vd-r
cellid_000000457-1,Vd-r
cellid_000000458-1,Dm-3
cellid_000000459-1,Vd-r
cellid_000000460-1,Dm-3
cellid_000000461-1,Dm-3
cellid_000000462-1,Dm-3
cellid_000000463-1,Dm-3
cellid_000000464-1,Dm-3
cellid_000000465-1,Dm-3
cellid_000000466-1,Vd-r
cellid_000000467-1,Dm-3
cellid_000000468-1,Vd-r
cellid_000000469-1,Vd-r
cellid_000000470-1,Dm-3
cellid_000000471-1,Vd-r
cellid_000000472-1,Vd-r
cellid_000000473-1,Vd-r
cellid_000000474-1,Dm-3
cellid_000000475-1,Vd-r
cellid_000000476-1,Dm-3
cellid_000000477-1,Vd-r
cellid_000000478-1,Dm-3
cellid_000000479-1,Vd-r
cellid_000000480-1,Dm-3
cellid_000000481-1,Dm-3
cellid_000000482-1,Dm-3
cellid_000000483-1,Dm-3
cellid_000000484-1,Vd-r
cellid_000000485-1,Vd-r
cellid_000000487-1,Dm-3
cellid_000000488-1,Vd-r
cellid_000000489-1,Dm-3
cellid_000000491-1,Vd-r
cellid_000000492-1,Dm-3
cellid_000000493-1,Vd-r
cellid_000000494-1,Vd-r
cellid_000000495-1,Dm-3
cellid_000000496-1,Dm-3
cellid_000000497-1,Dm-3
cellid_000000498-1,Dm-3
cellid_000000499-1,Dm-3
cellid_000000500-1,Dm-3
cellid_000000501-1,Dm-3
cellid_000000502-1,Dm-3
cellid_000000503-1,Dm-3
cellid_000000504-1,Dm-3
cellid_000000506-1,Dm-3
cellid_000000507-1,Dm-3
cellid_000000508-1,Vd-r
cellid_000000509-1,Vd-r
cellid_000000510-1,Vd-r
cellid_000000511-1,Dm-3
cellid_000000512-1,Dm-3
cellid_000000513-1,Vd-r
cellid_000000514-1,Dm-3
cellid_000000515-1,Vd-r
cellid_000000516-1,Dm-3
cellid_000000517-1,Vd-r
cellid_000000518-1,Dm-3
cellid_000000519-1,Dm-3
cellid_000000520-1,Dm-3
cellid_000000521-1,Dm-3
cellid_000000522-1,Vd-r
cellid_000000523-1,Dm-3
cellid_000000524-1,Dm-3
cellid_000000525-1,Dm-3
cellid_000000526-1,Dm-3
cellid_000000527-1,Dm-3
cellid_000000528-1,Vd-r
cellid_000000529-1,Dm-3
cellid_000000530-1,Dm-3
cellid_000000532-1,Vd-r
cellid_000000534-1,Dm-3
cellid_000000535-1,Dm-3
cellid_000000536-1,Vd-r
cellid_000000537-1,Dm-3
cellid_000000538-1,Dm-3
cellid_000000539-1,Dm-3
cellid_000000540-1,Dm-3
cellid_000000541-1,Dm-3
cellid_000000542-1,Dm-3
cellid_000000543-1,Dm-3
cellid_000000544-1,Vd-r
cellid_000000545-1,Vd-r
cellid_000000546-1,Dm-3
cellid_000000547-1,Dm-3
cellid_000000548-1,Vd-r
cellid_000000549-1,Dm-3
cellid_000000550-1,Dm-3
cellid_000000551-1,Dm-3
cellid_000000552-1,Dm-3
cellid_000000554-1,Dm-3
cellid_000000555-1,Dm-3
cellid_000000556-1,Dm-3
cellid_000000557-1,Dm-3
cellid_000000558-1,Dm-3
cellid_000000559-1,Dm-3
cellid_000000560-1,Dm-3
cellid_000000561-1,Vd-r
cellid_000000562-1,Dm-3
cellid_000000563-1,Vd-r
cellid_000000564-1,Vd-r
cellid_000000565-1,Vd-r
cellid_000000566-1,Vd-r
cellid_000000567-1,Dm-3
cellid_000000568-1,Vd-r
cellid_000000569-1,Vd-r
cellid_000000570-1,Vd-r
cellid_000000571-1,Vd-r
cellid_000000572-1,Vd-r
cellid_000000573-1,Dm-3
cellid_000000574-1,Dm-3
cellid_000000575-1,Dm-3
cellid_000000576-1,Vd-r
cellid_000000577-1,Vd-r
cellid_000000578-1,Vd-r
cellid_000000579-1,Dm-3
cellid_000000580-1,Dm-3
cellid_000000581-1,Dm-3
cellid_000000582-1,Vd-r
cellid_000000583-1,Vd-r
cellid_000000584-1,Dm-3
cellid_000000585-1,Vd-r
cellid_000000586-1,Dm-3
cellid_000000587-1,Vd-r
cellid_000000588-1,Dm-3
cellid_000000589-1,Vd-r
cellid_000000590-1,Dm-3
cellid_000000591-1,Vd-r
cellid_000000592-1,Dm-3
cellid_000000593-1,Dm-3
cellid_000000594-1,Dm-3
cellid_000000595-1,Dm-3
cellid_000000596-1,Dm-3
cellid_000000597-1,Dm-3
cellid_000000599-1,Dm-3
cellid_000000600-1,Dm-3
cellid_000000601-1,Dm-3
cellid_000000602-1,Vd-r
cellid_000000603-1,Dm-3
cellid_000000604-1,Dm-3
cellid_000000605-1,Dm-3
cellid_000000606-1,Dm-3
cellid_000000607-1,Vd-r
cellid_000000608-1,Dm-3
cellid_000000609-1,Dm-3
cellid_000000610-1,Dm-3
cellid_000000611-1,Vd-r
cellid_000000612-1,Dm-3
cellid_000000613-1,Vd-r
cellid_000000614-1,Dm-3
cellid_000000615-1,Dm-3
cellid_000000617-1,Dm-3
cellid_000000618-1,Dm-3
cellid_000000619-1,Dm-3
cellid_000000620-1,Dm-3
cellid_000000621-1,Dm-3
cellid_000000622-1,Dm-3
cellid_000000623-1,Dm-3
cellid_000000624-1,Dm-3
cellid_000000625-1,Vd-r
cellid_000000626-1,Dm-3
cellid_000000627-1,Dm-3
cellid_000000628-1,Dm-3
cellid_000000629-1,Vd-r
cellid_000000630-1,Dm-3
