Barcode,Coltan DIssection
cellid_000005352-1,included
cellid_000005355-1,included
cellid_000005382-1,included
cellid_000005388-1,included
cellid_000005416-1,included
cellid_000005426-1,included
cellid_000005476-1,included
cellid_000005540-1,included
cellid_000005551-1,included
cellid_000005567-1,included
cellid_000005587-1,included
cellid_000005599-1,included
cellid_000005709-1,included
cellid_000005721-1,included
cellid_000005738-1,included
cellid_000005747-1,included
cellid_000005749-1,included
cellid_000005765-1,included
cellid_000005811-1,included
cellid_000005822-1,included
cellid_000005824-1,included
cellid_000005896-1,included
cellid_000005899-1,included
cellid_000005961-1,included
cellid_000005967-1,included
cellid_000006019-1,included
cellid_000006037-1,included
cellid_000006071-1,included
cellid_000006073-1,included
cellid_000006074-1,included
cellid_000006114-1,included
cellid_000006146-1,included
cellid_000006156-1,included
cellid_000006157-1,included
cellid_000006160-1,included
cellid_000006168-1,included
cellid_000006252-1,included
cellid_000006272-1,included
cellid_000006309-1,included
cellid_000006333-1,included
cellid_000006358-1,included
cellid_000006366-1,included
cellid_000006404-1,included
cellid_000006424-1,included
cellid_000006426-1,included
cellid_000006436-1,included
cellid_000006453-1,included
cellid_000006522-1,included
cellid_000006573-1,included
cellid_000006583-1,included
cellid_000006609-1,included
cellid_000006617-1,included
cellid_000006639-1,included
cellid_000006696-1,included
cellid_000006748-1,included
cellid_000006752-1,included
cellid_000006756-1,included
cellid_000006762-1,included
cellid_000006768-1,included
cellid_000006795-1,included
cellid_000006822-1,included
cellid_000009223-1,included
cellid_000009490-1,included
cellid_000009509-1,included
cellid_000009562-1,included
cellid_000009581-1,included
cellid_000009583-1,included
cellid_000009601-1,included
cellid_000009752-1,included
cellid_000009770-1,included
cellid_000009815-1,included
cellid_000009905-1,included
cellid_000009916-1,included
cellid_000009961-1,included
cellid_000010044-1,included
cellid_000010089-1,included
cellid_000010106-1,included
cellid_000010151-1,included
cellid_000010307-1,included
cellid_000010309-1,included
cellid_000010435-1,included
cellid_000010532-1,included
cellid_000010544-1,included
cellid_000010568-1,included
cellid_000010594-1,included
cellid_000010611-1,included
cellid_000010625-1,included
cellid_000010626-1,included
cellid_000010661-1,included
cellid_000010675-1,included
cellid_000010734-1,included
cellid_000010739-1,included
cellid_000010820-1,included
cellid_000010837-1,included
cellid_000010846-1,included
cellid_000010861-1,included
cellid_000010930-1,included
cellid_000010967-1,included
cellid_000010972-1,included
cellid_000011021-1,included
cellid_000011025-1,included
cellid_000011033-1,included
cellid_000011041-1,included
cellid_000011100-1,included
cellid_000011141-1,included
cellid_000011152-1,included
cellid_000011184-1,included
cellid_000011203-1,included
cellid_000011208-1,included
cellid_000011240-1,included
cellid_000011243-1,included
cellid_000011250-1,included
cellid_000011251-1,included
cellid_000011265-1,included
cellid_000011273-1,included
cellid_000011293-1,included
cellid_000011299-1,included
cellid_000011318-1,included
cellid_000011362-1,included
cellid_000011401-1,included
cellid_000011441-1,included
cellid_000011444-1,included
cellid_000011465-1,included
cellid_000011467-1,included
cellid_000011474-1,included
cellid_000011476-1,included
cellid_000011487-1,included
cellid_000011507-1,included
cellid_000011513-1,included
cellid_000011525-1,included
cellid_000011553-1,included
cellid_000011565-1,included
cellid_000011584-1,included
cellid_000011621-1,included
cellid_000011628-1,included
cellid_000011654-1,included
cellid_000011717-1,included
cellid_000011768-1,included
cellid_000011773-1,included
cellid_000011829-1,included
cellid_000011872-1,included
cellid_000011887-1,included
cellid_000011923-1,included
cellid_000011924-1,included
cellid_000011990-1,included
cellid_000012006-1,included
cellid_000012007-1,included
cellid_000012008-1,included
cellid_000012009-1,included
cellid_000012010-1,included
cellid_000012012-1,included
cellid_000012013-1,included
cellid_000012014-1,included
cellid_000012015-1,included
cellid_000012016-1,included
cellid_000012017-1,included
cellid_000012018-1,included
cellid_000012019-1,included
cellid_000012020-1,included
cellid_000012021-1,included
cellid_000012022-1,included
cellid_000012023-1,included
cellid_000012024-1,included
cellid_000012025-1,included
cellid_000012026-1,included
cellid_000012027-1,included
cellid_000012028-1,included
cellid_000012029-1,included
cellid_000012030-1,included
cellid_000012031-1,included
cellid_000012032-1,included
cellid_000012033-1,included
cellid_000012034-1,included
cellid_000012035-1,included
cellid_000012036-1,included
cellid_000012037-1,included
cellid_000012038-1,included
cellid_000012039-1,included
cellid_000012040-1,included
cellid_000012041-1,included
cellid_000012042-1,included
cellid_000012043-1,included
cellid_000012044-1,included
cellid_000012045-1,included
cellid_000012046-1,included
cellid_000012047-1,included
cellid_000012048-1,included
cellid_000012049-1,included
cellid_000012050-1,included
cellid_000012051-1,included
cellid_000012052-1,included
cellid_000012053-1,included
cellid_000012054-1,included
cellid_000012055-1,included
cellid_000012056-1,included
