"","Barcode","Coltan.DIssection","Barcode_updated"
"14039","cellid_000025283-1","included","cellid_000025283-16P17"
"14040","cellid_000025284-1","included","cellid_000025284-16P17"
"14041","cellid_000025285-1","included","cellid_000025285-16P17"
"14042","cellid_000025286-1","included","cellid_000025286-16P17"
"14043","cellid_000025287-1","included","cellid_000025287-16P17"
"14044","cellid_000025288-1","included","cellid_000025288-16P17"
"14045","cellid_000025289-1","included","cellid_000025289-16P17"
"14046","cellid_000025290-1","included","cellid_000025290-16P17"
"14047","cellid_000025291-1","included","cellid_000025291-16P17"
"14048","cellid_000025292-1","included","cellid_000025292-16P17"
"14049","cellid_000025293-1","included","cellid_000025293-16P17"
"14050","cellid_000025294-1","included","cellid_000025294-16P17"
"14051","cellid_000025295-1","included","cellid_000025295-16P17"
"14052","cellid_000025296-1","included","cellid_000025296-16P17"
"14053","cellid_000025297-1","included","cellid_000025297-16P17"
"14054","cellid_000025298-1","included","cellid_000025298-16P17"
"14055","cellid_000025299-1","included","cellid_000025299-16P17"
"14056","cellid_000025300-1","included","cellid_000025300-16P17"
"14057","cellid_000025301-1","included","cellid_000025301-16P17"
"14058","cellid_000025302-1","included","cellid_000025302-16P17"
"14059","cellid_000025303-1","included","cellid_000025303-16P17"
"14060","cellid_000025304-1","included","cellid_000025304-16P17"
"14061","cellid_000025305-1","included","cellid_000025305-16P17"
"14062","cellid_000025306-1","included","cellid_000025306-16P17"
"14063","cellid_000025307-1","included","cellid_000025307-16P17"
"14064","cellid_000025308-1","included","cellid_000025308-16P17"
"14065","cellid_000025309-1","included","cellid_000025309-16P17"
"14066","cellid_000025310-1","included","cellid_000025310-16P17"
"14067","cellid_000025311-1","included","cellid_000025311-16P17"
"14068","cellid_000025312-1","included","cellid_000025312-16P17"
"14069","cellid_000025313-1","included","cellid_000025313-16P17"
"14070","cellid_000025314-1","included","cellid_000025314-16P17"
"14071","cellid_000025315-1","included","cellid_000025315-16P17"
"14072","cellid_000025316-1","included","cellid_000025316-16P17"
"14073","cellid_000025317-1","included","cellid_000025317-16P17"
"14074","cellid_000025318-1","included","cellid_000025318-16P17"
"14075","cellid_000025319-1","included","cellid_000025319-16P17"
"14076","cellid_000025320-1","included","cellid_000025320-16P17"
"14077","cellid_000025321-1","included","cellid_000025321-16P17"
"14078","cellid_000025322-1","included","cellid_000025322-16P17"
"14079","cellid_000025323-1","included","cellid_000025323-16P17"
"14080","cellid_000025324-1","included","cellid_000025324-16P17"
"14081","cellid_000025325-1","included","cellid_000025325-16P17"
"14082","cellid_000025326-1","included","cellid_000025326-16P17"
"14083","cellid_000025327-1","included","cellid_000025327-16P17"
"14084","cellid_000025328-1","included","cellid_000025328-16P17"
"14085","cellid_000025329-1","included","cellid_000025329-16P17"
"14086","cellid_000025330-1","included","cellid_000025330-16P17"
"14087","cellid_000025331-1","included","cellid_000025331-16P17"
"14088","cellid_000025332-1","included","cellid_000025332-16P17"
"14089","cellid_000025333-1","included","cellid_000025333-16P17"
"14090","cellid_000025334-1","included","cellid_000025334-16P17"
"14091","cellid_000025335-1","included","cellid_000025335-16P17"
"14092","cellid_000025336-1","included","cellid_000025336-16P17"
"14093","cellid_000025337-1","included","cellid_000025337-16P17"
"14094","cellid_000025338-1","included","cellid_000025338-16P17"
"14095","cellid_000025339-1","included","cellid_000025339-16P17"
"14096","cellid_000025340-1","included","cellid_000025340-16P17"
"14097","cellid_000025341-1","included","cellid_000025341-16P17"
"14098","cellid_000025342-1","included","cellid_000025342-16P17"
"14099","cellid_000025343-1","included","cellid_000025343-16P17"
"14100","cellid_000025344-1","included","cellid_000025344-16P17"
"14101","cellid_000025345-1","included","cellid_000025345-16P17"
"14102","cellid_000025346-1","included","cellid_000025346-16P17"
"14103","cellid_000025347-1","included","cellid_000025347-16P17"
"14104","cellid_000025348-1","included","cellid_000025348-16P17"
"14105","cellid_000025349-1","included","cellid_000025349-16P17"
"14106","cellid_000025350-1","included","cellid_000025350-16P17"
"14107","cellid_000025351-1","included","cellid_000025351-16P17"
"14108","cellid_000025352-1","included","cellid_000025352-16P17"
"14109","cellid_000025353-1","included","cellid_000025353-16P17"
"14110","cellid_000025354-1","included","cellid_000025354-16P17"
"14111","cellid_000025355-1","included","cellid_000025355-16P17"
"14112","cellid_000025356-1","included","cellid_000025356-16P17"
