"Barcode","res_2"
"cellid_000001015-1",NA
"cellid_000001017-1",NA
"cellid_000001018-1",NA
"cellid_000001019-1",NA
"cellid_000001024-1",NA
"cellid_000001025-1",NA
"cellid_000001026-1",NA
"cellid_000001028-1",NA
"cellid_000001032-1",NA
"cellid_000001033-1",NA
"cellid_000001035-1","9"
"cellid_000001037-1",NA
"cellid_000001042-1",NA
"cellid_000001048-1",NA
"cellid_000001049-1",NA
"cellid_000001050-1",NA
"cellid_000001052-1",NA
"cellid_000001055-1",NA
"cellid_000001056-1",NA
"cellid_000001058-1",NA
"cellid_000001059-1",NA
"cellid_000001060-1",NA
"cellid_000001063-1",NA
"cellid_000001064-1","17"
"cellid_000001065-1",NA
"cellid_000001066-1",NA
"cellid_000001067-1",NA
"cellid_000001068-1",NA
"cellid_000001069-1",NA
"cellid_000001070-1",NA
"cellid_000001071-1",NA
"cellid_000001072-1",NA
"cellid_000001073-1",NA
"cellid_000001074-1",NA
"cellid_000001075-1",NA
"cellid_000001076-1",NA
"cellid_000001077-1",NA
"cellid_000001078-1",NA
"cellid_000001079-1",NA
"cellid_000001080-1",NA
"cellid_000001081-1","30"
"cellid_000001082-1",NA
"cellid_000001083-1",NA
"cellid_000001084-1",NA
"cellid_000001085-1",NA
"cellid_000001086-1",NA
"cellid_000001087-1",NA
"cellid_000001088-1",NA
"cellid_000001090-1",NA
"cellid_000001091-1",NA
"cellid_000001093-1",NA
"cellid_000001095-1",NA
"cellid_000001096-1",NA
"cellid_000001097-1",NA
"cellid_000001098-1",NA
"cellid_000001100-1",NA
"cellid_000001101-1","4"
"cellid_000001102-1",NA
"cellid_000001104-1",NA
"cellid_000001105-1",NA
"cellid_000001107-1",NA
"cellid_000001108-1",NA
"cellid_000001110-1",NA
"cellid_000001111-1",NA
"cellid_000001112-1","9"
"cellid_000001113-1",NA
"cellid_000001114-1",NA
"cellid_000001115-1",NA
"cellid_000001116-1",NA
"cellid_000001117-1",NA
"cellid_000001119-1",NA
"cellid_000001120-1",NA
"cellid_000001121-1",NA
"cellid_000001122-1",NA
"cellid_000001123-1",NA
"cellid_000001124-1",NA
"cellid_000001126-1",NA
"cellid_000001127-1",NA
"cellid_000001128-1",NA
"cellid_000001129-1",NA
"cellid_000001131-1","17"
"cellid_000001132-1",NA
"cellid_000001133-1",NA
"cellid_000001134-1",NA
"cellid_000001135-1",NA
"cellid_000001136-1",NA
"cellid_000001137-1",NA
"cellid_000001138-1",NA
"cellid_000001139-1","9"
"cellid_000001140-1",NA
"cellid_000001141-1",NA
"cellid_000001142-1","15"
"cellid_000001143-1",NA
"cellid_000001144-1",NA
"cellid_000001146-1",NA
"cellid_000001147-1","0"
"cellid_000001148-1",NA
"cellid_000001149-1","10"
"cellid_000001150-1",NA
"cellid_000001152-1",NA
"cellid_000001153-1",NA
"cellid_000001154-1",NA
"cellid_000001156-1",NA
"cellid_000001157-1",NA
"cellid_000001159-1",NA
"cellid_000001161-1",NA
"cellid_000001163-1","6"
"cellid_000001165-1",NA
"cellid_000001166-1",NA
"cellid_000001167-1",NA
"cellid_000001169-1",NA
"cellid_000001171-1",NA
"cellid_000001172-1",NA
"cellid_000001173-1","2"
"cellid_000001174-1","4"
"cellid_000001175-1",NA
"cellid_000001176-1",NA
"cellid_000001177-1","28"
"cellid_000001178-1",NA
"cellid_000001179-1",NA
"cellid_000001181-1",NA
"cellid_000001182-1",NA
"cellid_000001183-1",NA
"cellid_000001184-1",NA
"cellid_000001185-1",NA
"cellid_000001187-1",NA
"cellid_000001188-1",NA
"cellid_000001189-1",NA
"cellid_000001190-1",NA
"cellid_000001191-1",NA
"cellid_000001192-1",NA
"cellid_000001193-1",NA
"cellid_000001195-1",NA
"cellid_000001196-1",NA
"cellid_000001197-1",NA
"cellid_000001198-1",NA
"cellid_000001199-1","18"
"cellid_000001200-1",NA
"cellid_000001201-1",NA
"cellid_000001202-1",NA
"cellid_000001203-1","9"
"cellid_000001204-1","0"
"cellid_000001206-1",NA
"cellid_000001208-1","14"
"cellid_000001209-1",NA
"cellid_000001210-1",NA
"cellid_000001212-1",NA
"cellid_000001213-1",NA
"cellid_000001214-1",NA
"cellid_000001215-1",NA
"cellid_000001216-1",NA
"cellid_000001217-1",NA
"cellid_000001218-1",NA
"cellid_000001219-1","18"
"cellid_000001221-1",NA
"cellid_000001223-1",NA
"cellid_000001224-1",NA
"cellid_000001225-1",NA
"cellid_000001226-1","18"
"cellid_000001227-1",NA
"cellid_000001228-1","1"
"cellid_000001229-1",NA
"cellid_000001233-1",NA
"cellid_000001234-1",NA
"cellid_000001235-1",NA
"cellid_000001236-1",NA
"cellid_000001238-1",NA
"cellid_000001239-1",NA
"cellid_000001240-1",NA
"cellid_000001242-1",NA
"cellid_000001243-1",NA
"cellid_000001244-1",NA
"cellid_000001245-1",NA
"cellid_000001246-1",NA
"cellid_000001247-1",NA
"cellid_000001248-1",NA
"cellid_000001250-1",NA
"cellid_000001251-1",NA
"cellid_000001252-1",NA
"cellid_000001254-1",NA
"cellid_000001256-1",NA
"cellid_000001257-1",NA
"cellid_000001258-1",NA
"cellid_000001259-1",NA
"cellid_000001260-1","9"
"cellid_000001261-1",NA
"cellid_000001262-1",NA
"cellid_000001263-1",NA
"cellid_000001264-1",NA
"cellid_000001265-1",NA
"cellid_000001266-1",NA
"cellid_000001268-1",NA
"cellid_000001269-1",NA
"cellid_000001271-1",NA
"cellid_000001272-1",NA
"cellid_000001273-1",NA
"cellid_000001274-1",NA
"cellid_000001275-1",NA
"cellid_000001278-1",NA
"cellid_000001279-1",NA
"cellid_000001280-1",NA
"cellid_000001281-1",NA
"cellid_000001282-1",NA
"cellid_000001283-1",NA
"cellid_000001284-1",NA
"cellid_000001285-1",NA
"cellid_000001286-1",NA
"cellid_000001287-1",NA
"cellid_000001288-1",NA
"cellid_000001289-1",NA
"cellid_000001290-1",NA
"cellid_000001292-1",NA
"cellid_000001293-1",NA
"cellid_000001294-1",NA
"cellid_000001295-1","0"
"cellid_000001296-1",NA
"cellid_000001297-1",NA
"cellid_000001299-1",NA
"cellid_000001300-1",NA
"cellid_000001302-1",NA
"cellid_000001304-1",NA
"cellid_000001305-1",NA
"cellid_000001306-1",NA
"cellid_000001307-1",NA
"cellid_000001308-1",NA
"cellid_000001309-1","19"
"cellid_000001310-1",NA
"cellid_000001311-1",NA
"cellid_000001313-1",NA
"cellid_000001314-1",NA
"cellid_000001316-1",NA
"cellid_000001319-1",NA
"cellid_000001320-1",NA
"cellid_000001321-1","6"
"cellid_000001322-1",NA
"cellid_000001323-1",NA
"cellid_000001324-1",NA
"cellid_000001325-1",NA
"cellid_000001326-1","0"
"cellid_000001327-1",NA
"cellid_000001329-1",NA
"cellid_000001330-1",NA
"cellid_000001331-1",NA
"cellid_000001332-1",NA
"cellid_000001333-1",NA
"cellid_000001334-1",NA
"cellid_000001335-1","8"
"cellid_000001336-1",NA
"cellid_000001337-1",NA
"cellid_000001338-1",NA
"cellid_000001340-1","7"
"cellid_000001341-1",NA
"cellid_000001343-1",NA
"cellid_000001344-1",NA
"cellid_000001345-1",NA
"cellid_000001346-1",NA
"cellid_000001347-1",NA
"cellid_000001350-1",NA
"cellid_000001351-1",NA
"cellid_000001352-1",NA
"cellid_000001353-1","15"
"cellid_000001355-1",NA
"cellid_000001356-1",NA
"cellid_000001357-1",NA
"cellid_000001358-1",NA
"cellid_000001359-1","9"
"cellid_000001360-1",NA
"cellid_000001361-1",NA
"cellid_000001363-1",NA
"cellid_000001364-1","18"
"cellid_000001365-1",NA
"cellid_000001368-1",NA
"cellid_000001370-1",NA
"cellid_000001372-1",NA
"cellid_000001373-1",NA
"cellid_000001374-1",NA
"cellid_000001375-1",NA
"cellid_000001376-1",NA
"cellid_000001377-1",NA
"cellid_000001379-1",NA
"cellid_000001380-1",NA
"cellid_000001381-1",NA
"cellid_000001382-1","28"
"cellid_000001383-1",NA
"cellid_000001384-1",NA
"cellid_000001385-1",NA
"cellid_000001387-1",NA
"cellid_000001388-1",NA
"cellid_000001389-1",NA
"cellid_000001390-1",NA
"cellid_000001391-1",NA
"cellid_000001392-1",NA
"cellid_000001393-1",NA
"cellid_000001394-1",NA
"cellid_000001395-1",NA
"cellid_000001396-1",NA
"cellid_000001397-1",NA
"cellid_000001398-1",NA
"cellid_000001399-1",NA
"cellid_000001400-1",NA
"cellid_000001401-1",NA
"cellid_000001402-1",NA
"cellid_000001403-1",NA
"cellid_000001404-1",NA
"cellid_000001405-1",NA
"cellid_000001406-1",NA
"cellid_000001408-1",NA
"cellid_000001409-1",NA
"cellid_000001411-1",NA
"cellid_000001412-1",NA
