Barcode,Dissection
cellid_000113479-1,poa dissection
cellid_000113481-1,poa dissection
cellid_000113486-1,poa dissection
cellid_000113488-1,poa dissection
cellid_000113491-1,poa dissection
cellid_000113494-1,poa dissection
cellid_000113498-1,poa dissection
cellid_000113507-1,poa dissection
cellid_000113508-1,poa dissection
cellid_000113510-1,poa dissection
cellid_000113512-1,poa dissection
cellid_000113515-1,poa dissection
cellid_000113516-1,poa dissection
cellid_000113517-1,poa dissection
cellid_000113521-1,poa dissection
cellid_000113522-1,poa dissection
cellid_000113524-1,poa dissection
cellid_000113526-1,poa dissection
cellid_000113527-1,poa dissection
cellid_000113528-1,poa dissection
cellid_000113529-1,poa dissection
cellid_000113530-1,poa dissection
cellid_000113532-1,poa dissection
cellid_000113534-1,poa dissection
cellid_000113535-1,poa dissection
cellid_000113537-1,poa dissection
cellid_000113539-1,poa dissection
cellid_000113542-1,poa dissection
cellid_000113544-1,poa dissection
cellid_000113545-1,poa dissection
cellid_000113547-1,poa dissection
cellid_000113556-1,poa dissection
cellid_000113559-1,poa dissection
cellid_000113561-1,poa dissection
cellid_000113564-1,poa dissection
cellid_000113566-1,poa dissection
cellid_000113568-1,poa dissection
cellid_000113569-1,poa dissection
cellid_000113570-1,poa dissection
cellid_000113573-1,poa dissection
cellid_000113574-1,poa dissection
cellid_000113577-1,poa dissection
cellid_000113578-1,poa dissection
cellid_000113579-1,poa dissection
cellid_000113585-1,poa dissection
cellid_000113590-1,poa dissection
cellid_000113593-1,poa dissection
cellid_000113596-1,poa dissection
cellid_000113600-1,poa dissection
cellid_000113607-1,poa dissection
cellid_000113609-1,poa dissection
cellid_000113613-1,poa dissection
cellid_000113614-1,poa dissection
cellid_000113616-1,poa dissection
cellid_000113618-1,poa dissection
cellid_000113619-1,poa dissection
cellid_000113620-1,poa dissection
cellid_000113623-1,poa dissection
cellid_000113625-1,poa dissection
cellid_000113626-1,poa dissection
cellid_000113627-1,poa dissection
cellid_000113629-1,poa dissection
cellid_000113630-1,poa dissection
cellid_000113633-1,poa dissection
cellid_000113635-1,poa dissection
cellid_000113636-1,poa dissection
cellid_000113644-1,poa dissection
cellid_000113645-1,poa dissection
cellid_000113647-1,poa dissection
cellid_000113650-1,poa dissection
cellid_000113654-1,poa dissection
cellid_000113656-1,poa dissection
cellid_000113658-1,poa dissection
cellid_000113663-1,poa dissection
cellid_000113666-1,poa dissection
cellid_000113667-1,poa dissection
cellid_000113668-1,poa dissection
cellid_000113669-1,poa dissection
cellid_000113670-1,poa dissection
cellid_000113672-1,poa dissection
cellid_000113674-1,poa dissection
cellid_000113677-1,poa dissection
cellid_000113678-1,poa dissection
cellid_000113679-1,poa dissection
