"Barcode","multiome_predicted"
"cellid_000000911-1","24"
"cellid_000000912-1","0"
"cellid_000000914-1","24"
"cellid_000000915-1","24"
"cellid_000000916-1","0"
"cellid_000000917-1","0"
"cellid_000000918-1","0"
"cellid_000000919-1","0"
"cellid_000000920-1","0"
"cellid_000000921-1","0"
"cellid_000000922-1","24"
"cellid_000000923-1","24"
"cellid_000000924-1","0"
"cellid_000000925-1","22"
"cellid_000000926-1","3"
"cellid_000000927-1","0"
"cellid_000000928-1","0"
"cellid_000000929-1","0"
"cellid_000000930-1","0"
"cellid_000000933-1","0"
"cellid_000000936-1","24"
"cellid_000000937-1","24"
"cellid_000000938-1","0"
"cellid_000000939-1","5"
"cellid_000000940-1","0"
"cellid_000000941-1","24"
"cellid_000000942-1","0"
"cellid_000000943-1","0"
"cellid_000000944-1","24"
"cellid_000000945-1","3"
"cellid_000000946-1","0"
"cellid_000000947-1","0"
"cellid_000000949-1","0"
"cellid_000000950-1","24"
"cellid_000000951-1","0"
"cellid_000000952-1","24"
"cellid_000000954-1","0"
"cellid_000000955-1","0"
"cellid_000000957-1","24"
"cellid_000000959-1","24"
"cellid_000000960-1","0"
"cellid_000000961-1","0"
"cellid_000000962-1","6"
"cellid_000000963-1","0"
"cellid_000000965-1","24"
"cellid_000000966-1","0"
"cellid_000000967-1","24"
"cellid_000000968-1","0"
"cellid_000000969-1","0"
"cellid_000000970-1","24"
"cellid_000000971-1","24"
"cellid_000000972-1","0"
"cellid_000000975-1","0"
"cellid_000000976-1","24"
"cellid_000000977-1","0"
"cellid_000000978-1","24"
"cellid_000000979-1","0"
"cellid_000000980-1","0"
"cellid_000000982-1","12"
"cellid_000000983-1","24"
"cellid_000000984-1","24"
"cellid_000000985-1","24"
"cellid_000000986-1","24"
"cellid_000000987-1","0"
"cellid_000000988-1","0"
"cellid_000000989-1","0"
"cellid_000000990-1","24"
"cellid_000000991-1","0"
"cellid_000000993-1","24"
"cellid_000000994-1","0"
"cellid_000000995-1","0"
"cellid_000000996-1","6"
"cellid_000000997-1","0"
"cellid_000000998-1","0"
"cellid_000000999-1","22"
"cellid_000001001-1","0"
"cellid_000001002-1","24"
"cellid_000001003-1","0"
"cellid_000001004-1","0"
"cellid_000001005-1","0"
"cellid_000001006-1","0"
"cellid_000001007-1","0"
"cellid_000001008-1","0"
"cellid_000001009-1","24"
"cellid_000001010-1","0"
"cellid_000001011-1","3"
"cellid_000001013-1","0"
"cellid_000001014-1","6"
"cellid_000001016-1","24"
"cellid_000001017-1","0"
"cellid_000001018-1","0"
"cellid_000001019-1","0"
"cellid_000001020-1","0"
"cellid_000001022-1","24"
"cellid_000001023-1","0"
"cellid_000001024-1","24"
"cellid_000001025-1","0"
"cellid_000001026-1","5"
"cellid_000001027-1","24"
"cellid_000001028-1","24"
"cellid_000001029-1","0"
"cellid_000001030-1","0"
"cellid_000001031-1","24"
"cellid_000001032-1","5"
"cellid_000001033-1","0"
"cellid_000001034-1","0"
"cellid_000001035-1","0"
"cellid_000001036-1","24"
"cellid_000001039-1","0"
"cellid_000001042-1","0"
"cellid_000001045-1","0"
"cellid_000001046-1","0"
"cellid_000001048-1","0"
"cellid_000001049-1","3"
"cellid_000001050-1","24"
"cellid_000001051-1","0"
"cellid_000001052-1","24"
"cellid_000001053-1","3"
"cellid_000001054-1","0"
"cellid_000001055-1","24"
"cellid_000001056-1","0"
"cellid_000001058-1","0"
"cellid_000001059-1","0"
"cellid_000001060-1","24"
"cellid_000001061-1","24"
"cellid_000001062-1","0"
"cellid_000001063-1","0"
"cellid_000001064-1","0"
"cellid_000001065-1","24"
"cellid_000001066-1","24"
"cellid_000001067-1","0"
"cellid_000001068-1","3"
"cellid_000001069-1","24"
"cellid_000001070-1","0"
"cellid_000001071-1","0"
"cellid_000001072-1","0"
"cellid_000001073-1","0"
"cellid_000001074-1","24"
"cellid_000001075-1","0"
"cellid_000001076-1","6"
"cellid_000001077-1","22"
"cellid_000001078-1","24"
"cellid_000001079-1","24"
"cellid_000001080-1","0"
"cellid_000001081-1","24"
"cellid_000001082-1","0"
"cellid_000001083-1","0"
"cellid_000001084-1","24"
"cellid_000001085-1","0"
"cellid_000001086-1","0"
"cellid_000001087-1","0"
"cellid_000001088-1","22"
"cellid_000001089-1","0"
"cellid_000001090-1","0"
"cellid_000001092-1","0"
"cellid_000001094-1","24"
"cellid_000001095-1","3"
"cellid_000001096-1","3"
"cellid_000001097-1","0"
"cellid_000001099-1","0"
"cellid_000001101-1","3"
"cellid_000001102-1","0"
"cellid_000001103-1","24"
"cellid_000001105-1","0"
"cellid_000001106-1","24"
"cellid_000001108-1","0"
"cellid_000001111-1","0"
"cellid_000001114-1","24"
"cellid_000001115-1","0"
"cellid_000001116-1","0"
"cellid_000001117-1","24"
"cellid_000001118-1","0"
"cellid_000001120-1","0"
"cellid_000001121-1","24"
"cellid_000001124-1","0"
"cellid_000001125-1","3"
"cellid_000001126-1","0"
"cellid_000001127-1","0"
"cellid_000001128-1","22"
"cellid_000001129-1","0"
"cellid_000001130-1","6"
"cellid_000001131-1","24"
"cellid_000001132-1","0"
"cellid_000001133-1","24"
"cellid_000001134-1","24"
"cellid_000001135-1","24"
"cellid_000001136-1","0"
"cellid_000001137-1","3"
"cellid_000001138-1","0"
"cellid_000001139-1","0"
"cellid_000001140-1","6"
"cellid_000001141-1","24"
"cellid_000001142-1","5"
"cellid_000001143-1","24"
"cellid_000001146-1","0"
"cellid_000001147-1","0"
"cellid_000001148-1","0"
"cellid_000001149-1","0"
"cellid_000001150-1","0"
"cellid_000001151-1","3"
"cellid_000001152-1","0"
"cellid_000001153-1","24"
"cellid_000001154-1","24"
"cellid_000001155-1","24"
"cellid_000001156-1","6"
"cellid_000001157-1","24"
"cellid_000001158-1","3"
"cellid_000001159-1","0"
"cellid_000001160-1","6"
"cellid_000001161-1","0"
"cellid_000001162-1","24"
"cellid_000001163-1","0"
"cellid_000001164-1","0"
"cellid_000001165-1","0"
"cellid_000001166-1","0"
"cellid_000001167-1","24"
"cellid_000001168-1","0"
"cellid_000001170-1","24"
"cellid_000001172-1","0"
"cellid_000001173-1","3"
"cellid_000001174-1","24"
"cellid_000001175-1","3"
"cellid_000001176-1","24"
"cellid_000001177-1","0"
"cellid_000001179-1","24"
"cellid_000001180-1","0"
"cellid_000001182-1","24"
"cellid_000001183-1","24"
"cellid_000001184-1","24"
"cellid_000001186-1","24"
"cellid_000001187-1","24"
"cellid_000001190-1","24"
"cellid_000001192-1","24"
"cellid_000001193-1","0"
"cellid_000001194-1","24"
"cellid_000001195-1","0"
"cellid_000001196-1","24"
"cellid_000001197-1","0"
"cellid_000001198-1","24"
"cellid_000001200-1","0"
"cellid_000001201-1","0"
"cellid_000001202-1","3"
"cellid_000001203-1","25"
"cellid_000001205-1","0"
"cellid_000001206-1","3"
"cellid_000001208-1","24"
"cellid_000001210-1","0"
"cellid_000001211-1","24"
"cellid_000001212-1","0"
"cellid_000001213-1","0"
"cellid_000001214-1","24"
"cellid_000001215-1","3"
"cellid_000001218-1","0"
"cellid_000001219-1","0"
"cellid_000001222-1","6"
"cellid_000001223-1","0"
"cellid_000001224-1","24"
"cellid_000001227-1","24"
"cellid_000001229-1","22"
"cellid_000001230-1","3"
"cellid_000001231-1","24"
"cellid_000001233-1","0"
"cellid_000001238-1","0"
"cellid_000001239-1","0"
"cellid_000001240-1","0"
"cellid_000001241-1","0"
"cellid_000001242-1","0"
"cellid_000001244-1","24"
"cellid_000001247-1","0"
"cellid_000001248-1","0"
"cellid_000001249-1","0"
"cellid_000001250-1","25"
"cellid_000001251-1","0"
"cellid_000001252-1","24"
"cellid_000001253-1","0"
"cellid_000001254-1","0"
"cellid_000001256-1","0"
"cellid_000001257-1","24"
"cellid_000001258-1","0"
"cellid_000001259-1","0"
"cellid_000001262-1","0"
"cellid_000001263-1","0"
"cellid_000001265-1","24"
"cellid_000001266-1","24"
"cellid_000001267-1","0"
"cellid_000001268-1","0"
"cellid_000001271-1","24"
"cellid_000001272-1","3"
"cellid_000001273-1","0"
"cellid_000001274-1","0"
"cellid_000001275-1","0"
"cellid_000001276-1","0"
"cellid_000001277-1","24"
"cellid_000001278-1","24"
"cellid_000001279-1","24"
"cellid_000001280-1","24"
"cellid_000001281-1","0"
"cellid_000001283-1","24"
"cellid_000001285-1","24"
"cellid_000001286-1","24"
"cellid_000001287-1","0"
"cellid_000001288-1","0"
"cellid_000001289-1","0"
"cellid_000001290-1","24"
"cellid_000001292-1","0"
"cellid_000001293-1","0"
"cellid_000001294-1","3"
"cellid_000001295-1","0"
"cellid_000001296-1","24"
"cellid_000001298-1","0"
"cellid_000001300-1","0"
"cellid_000001301-1","0"
"cellid_000001303-1","0"
"cellid_000001306-1","24"
"cellid_000001307-1","0"
"cellid_000001308-1","24"
"cellid_000001309-1","0"
"cellid_000001310-1","0"
"cellid_000001311-1","0"
"cellid_000001314-1","0"
"cellid_000001315-1","0"
"cellid_000001317-1","0"
"cellid_000001318-1","24"
"cellid_000001321-1","0"
"cellid_000001322-1","0"
"cellid_000001324-1","0"
"cellid_000001325-1","24"
"cellid_000001326-1","0"
"cellid_000001327-1","0"
"cellid_000001328-1","24"
"cellid_000001330-1","0"
