gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	6_0	6_1	6_2	6_3
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0430C8A78	ADGRL3	1.953	1.594	2.63	0.821
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-CS059C42E4B	ADGRL3	1.953	1.594	2.63	0.821
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0474E1C15	ADGRL3	1.953	1.594	2.63	0.821
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS052641D5A	ADGRL3	1.953	1.594	2.63	0.821
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-CS0D62B1695	ADGRL3	1.953	1.594	2.63	0.821
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS038A612D7	ADGRL3	1.953	1.594	2.63	0.821
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0BCB3D402	ADGRL3	1.953	1.594	2.63	0.821
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0EA023E51	ADGRL3	1.953	1.594	2.63	0.821
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS01F00A48A	ADGRL3	1.953	1.594	2.63	0.821
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0F6BE4D47	ADGRL3	1.953	1.594	2.63	0.821
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS08BFFB96E	ADGRL2	1.257	1.605	1.632	0.0
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-CS049AAD8F5	ADGRL2	1.257	1.605	1.632	0.0
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	1.257	1.605	1.632	0.0
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS021718DBF	ADGRL2	1.257	1.605	1.632	0.0
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	1.257	1.605	1.632	0.0
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS0FD44484F	ADGRL2	1.257	1.605	1.632	0.0
GABBR1	Q9UBS5	False	GABR1_HUMAN		CPI-CS0CE0C5AF0	GABBR1	2.921	2.859	2.441	2.035
GABBR1	Q9UBS5	False	GABR1_HUMAN		CPI-CS06B116BC0	GABBR1	2.921	2.859	2.441	2.035
GABBR1	Q9UBS5	False	GABR1_HUMAN		CPI-CS02929CEBB	GABBR1	2.921	2.859	2.441	2.035
GABBR1	Q9UBS5	False	GABR1_HUMAN		CPI-CS03CCCE0E4	GABBR1	2.921	2.859	2.441	2.035
