"iteration","accuracy_cluster6","overall_accuracy","n_genes","genes"
60,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
61,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
62,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
63,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
64,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
65,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
66,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
67,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
68,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
69,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
70,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
71,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
72,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
73,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
74,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
75,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
76,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
77,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
78,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
79,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
80,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
81,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
