"","X","source","Phase","Log_11KT","Log_E2","days","mass_final","Percent_Testicular","z_11kt","z_mass","z_percent_testicular","z_testis","SexState"
"78",351,"Dodd","M",2.8396979671802,NA,0,2.68,0.745085155704913,0.922037940068643,-0.655011099734751,2.21456092306719,1.68209507758449,-1.05158830235943
"79",36,"Dodd","M",2.94676657259466,NA,0,3.23,0.709848607794028,1.10666471294052,-0.432610795260697,2.07279650174345,1.60159902454087,-1.00895002561848
"80",371,"Dodd","M",NA,NA,0,3.05,0.75446965011997,NA,-0.505396349452206,2.25231681855194,1.7046663320808,-1.06089405912661
"81",381,"Dodd","F",NA,NA,NA,2.86,0,NA,-0.582225545543243,-0.783081360239224,-0.949743727558784,0.410976607771393
"82",391,"Dodd","M",NA,NA,0,3.46,0.8657,NA,-0.339607031571547,2.69982110371233,2.0342917066365,-1.21109524073104
"83",401,"Dodd","M",NA,NA,0,4.4,0.659,NA,0.0404953069841099,1.86822131244655,1.49448085090234,-0.829265415761777
"84",411,"Dodd","M",NA,NA,0,5.46,0.6445,NA,0.469121348334106,1.80988460720536,1.46539056300668,-0.723595487082487
"85",421,"Dodd","M",NA,NA,0,5.52,0.647,NA,0.493383199731275,1.81994265983315,1.4703681850887,-0.721327287360104
"86",43,"Dodd","D",2.97057930571485,NA,1095,9.26,0.0229260479205422,1.14772687165849,2.00570527015485,-0.690844801626393,-0.389695558242299,0.320920055072862
"87",441,"Dodd","S",NA,NA,1095,2.13,0.174111492991181,NA,-0.877411404208806,-0.082592336395782,0.488394706929051,-0.456692764670675
"88",451,"Dodd","D",1.51255099290421,NA,1095,8.61,0,-1.36646541755667,1.74286854668551,-0.783081360239224,-0.949743727558784,0.979015430047991
"89",461,"Dodd","S",NA,NA,1095,2.63,0.272528760242432,NA,-0.675229309232393,0.313362085002809,0.746393514296909,-0.559157282556844
"90",110,"Parker","F",NA,2.52071928474979,NA,10.8,0,NA,2.6284261226822,-0.783081360239224,-0.949743727558784,1.08036216900757
"91",210,"Parker","M",2.70064315393089,2.55688117437976,NA,5.3,NA,0.682254846573206,0.404423077941653,NA,NA,-0.11101717581408
"92",310,"Parker","D",1.6387886671574,2.52892954903675,154,4.2,NA,-1.1487839195863,-0.0403775310064554,NA,NA,0.424800640541722
"93",410,"Parker","D",NA,NA,126,NA,NA,NA,NA,NA,NA,NA
"94",510,"Parker","S",1.7473341096159,2.16961566222275,154,2.4,NA,-0.961610521058443,-0.768233072921543,NA,NA,0.0828714690855445
"95",610,"Parker","S",2.41055792254594,2.62312518853053,126,2.4,NA,0.182038187160532,-0.768233072921543,NA,NA,-0.354956523275165
"96",71,"Parker","D",2.52599015045959,2.53054545878901,126,3,NA,0.381087008639156,-0.525614558949847,NA,NA,-0.34106832377073
"97",81,"Parker","D",2.51835598589109,2.57604173344199,126,4.6,NA,0.367922821411735,0.121368144974675,NA,NA,-0.0957861605078005
