gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	0	10	11	12	13	14	15	16	17	18	19	1_0	1_1	1_2	1_3	1_4	1_5	2	20	21	22	23	24	25	26	3	5	6	7	8	9
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC071BF7D12	ALDH1A2	0.003	0.0	0.494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.201	0.0	0.0	0.362	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.0	0.746	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.003	0.0	0.494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.201	0.0	0.0	0.362	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.0	0.746	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC039D8C2A7	ALDH1A3	0.007	0.0	0.0	0.0	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC0D32DC80C	ALDH1A3	0.007	0.0	0.0	0.0	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC0BD81688E	ALDH1A3	0.007	0.0	0.0	0.0	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC0BEBB9C26	ALDH1A3	0.007	0.0	0.0	0.0	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC09B046394	ALDH1A3	0.007	0.0	0.0	0.0	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC00B974CC4	ALDH1A3	0.007	0.0	0.0	0.0	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.007	0.0	0.0	0.0	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP27B1	O15528	True	CP27B_HUMAN	Calcitriol_byCYP27B1	CPI-CS01DAEDE79	CYP27B1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
