"","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","av_p.value","warning","singular","f_m_q.value","d_m_q.value","d_f_q.value","av_q.value","cluster"
"12614","zdhhc9",0.100387763318425,0.559850114296117,0.0506498715830352,0.781778783685524,-0.0497378917353894,0.773365682633168,0.84312264793955,NA,TRUE,"1","1","1","0.999999999899967",4
"12615","trmt12",0.948652499239318,0.156810598045341,0.709532655340927,0.318360335470129,-0.239119843898391,0.653056039802894,0.36701289154791,NA,TRUE,"1","1","1","0.999999999899967",4
"12616","LOC111582113",90.3548786625942,0.999975385476501,45.4722492658603,0.999991695732559,-44.882629396734,0.999988953775156,0.999999999428314,NA,TRUE,"1","1","1","0.999999999899967",4
"12617","srpx2",0.391573633878671,0.686592776760545,-0.123745609567919,0.907273651822998,-0.51531924344659,0.60785975257124,0.858169185663693,NA,FALSE,"1","1","1","0.999999999899967",4
"12618","tspan7",-0.44856082753479,0.0743862856281834,-0.0159176821443998,0.948856268173084,0.43264314539039,0.0927882638200899,0.138803947487559,NA,FALSE,"1","1","1","0.999999999899967",4
"12619","LOC129350399",-0.283280008177101,0.587170443819764,0.345393816739929,0.462886531897144,0.62867382491703,0.198276670137415,0.425899097472531,NA,TRUE,"1","1","1","0.999999999899967",4
"12620","mid1ip1l",-0.17833928937718,0.481741854016564,-0.0962079274938848,0.711100391790608,0.082131361883295,0.752650845979586,0.780339104683234,NA,TRUE,"1","1","1","0.999999999899967",4
"12621","bcorl1",0.363555848786223,0.0682912770242805,0.320282656876126,0.126086813960751,-0.043273191910097,0.815800058398809,0.161704567384646,NA,TRUE,"1","1","1","0.999999999899967",4
"12622","cstf2",0.0759891502787301,0.830724719136571,0.12728321841071,0.725914033565434,0.0512940681319802,0.883611939381236,0.939823126311851,NA,FALSE,"1","1","1","0.999999999899967",4
"12623","nox1",0.769968353349826,0.069473066676671,0.875782239062143,0.0410792816346932,0.105813885712317,0.747807486442515,0.107591307156009,NA,TRUE,"1","1","1","0.999999999899967",4
"12624","xkrx",0.0782823287598728,0.619257920372514,-0.220648798412728,0.211584635463814,-0.2989311271726,0.0763023982485733,0.200788931800154,NA,TRUE,"1","1","1","0.999999999899967",4
"12625","arl13a",-0.152227405158686,0.91439390801957,0.0143144578475855,0.991937608354509,0.166541863006272,0.906400519637392,0.991540514343049,NA,TRUE,"1","1","1","0.999999999899967",4
"12626","LOC118470519",30.0785384780267,0.999991642498526,30.2545538159311,0.999991593591614,0.176015337904395,0.9012011895754,0.992323736593201,NA,TRUE,"1","1","1","0.999999999899967",4
"12627","tmem35",-0.0237754946056193,0.858023300179099,-0.0182988979761067,0.895747755608319,0.00547659662951259,0.967701575928562,0.983060595741694,NA,TRUE,"1","1","1","0.999999999899967",4
"12628","cenpi",-0.349787748120725,0.631035884127277,0.730143978554079,0.238207534149564,1.0799317266748,0.103041540233811,0.21548147924355,NA,FALSE,"1","1","1","0.999999999899967",4
"12629","drp2",-0.0833627682043933,0.29290610796168,-0.016972512605958,0.842765408004107,0.0663902555984353,0.424020373435261,0.537072601000546,NA,FALSE,"1","1","1","0.999999999899967",4
"12630","LOC118470520",0.350699094740828,0.242262667253083,-0.21450613394422,0.545107830621431,-0.565205228685047,0.0807558354735855,0.183245328904535,NA,TRUE,"1","1","1","0.999999999899967",4
"12631","taf7",-0.573010044343206,0.00663788437637883,-0.20452517146879,0.313701175574047,0.368484872874415,0.0964486005310177,0.0247606650920962,NA,TRUE,"0.73989701668954","1","1","0.903714458944673",4
"12632","slc9a6a",0.0677976634092513,0.772826615193763,0.0837150168197412,0.724996615670804,0.0159173534104898,0.945152915515105,0.932864346887706,NA,FALSE,"1","1","1","0.999999999899967",4
"12633","fhl1a",0.947853065509605,0.412499418058043,1.11872553136359,0.333632927056563,0.170872465853987,0.834863301545122,0.620191169705948,NA,TRUE,"1","1","1","0.999999999899967",4
"12634","map7d3",0.120208698020171,0.647072371759165,-0.0337639042291627,0.903209295343398,-0.153972602249334,0.563149338552425,0.825500708762554,NA,FALSE,"1","1","1","0.999999999899967",4
"12635","tmtops3a",11.7959097246973,0.999997606228728,42.8449424152377,0.999988328158284,31.0490326905403,0.999990555575433,0.999999999822948,NA,TRUE,"1","1","1","0.999999999899967",4
"12636","arhgef6",0.139992861642483,0.541069823475909,0.324689831848138,0.162546207380953,0.184696970205655,0.3919558448572,0.368745430527768,NA,TRUE,"1","1","1","0.999999999899967",4
"12637","rbmx",-0.0713759321324013,0.687940590145164,-0.0236720362686661,0.895196667747704,0.0477038958637352,0.792871452394987,0.920166234388624,NA,FALSE,"1","1","1","0.999999999899967",4
"12638","LOC111566326",0.183838434433448,0.365605074270778,-0.0157318825090298,0.942431550883591,-0.199570316942477,0.336743365890444,0.545383546262699,NA,FALSE,"1","1","1","0.999999999899967",4
"12639","gpr101",0.249079645881928,0.546682713667018,0.545822666404399,0.177715246540223,0.296743020522471,0.411018953345907,0.387837615172892,NA,TRUE,"1","1","1","0.999999999899967",4
"12640","LOC111566325",-0.0053779960762685,0.208475925021128,-0.102812148923334,1.97710836901743e-253,-0.0974341528470659,4.81702599667732e-228,0,"Model failed to converge with max|grad| = 0.023177",FALSE,"NA","NA","NA","NA",4
"12641","zic3",-0.55607305429175,0.169376577053052,-0.0628778305919235,0.871829278318817,0.493195223699826,0.228476352112363,0.334929445156926,NA,FALSE,"1","1","1","0.999999999899967",4
"12642","zic6",-0.220960860837051,0.618390645113125,-0.376737753357588,0.43226330696662,-0.155776892520537,0.749151523452078,0.724630559746106,NA,FALSE,"1","1","1","0.999999999899967",4
"12643","LOC111566330",-0.154803391833454,0.77368474878215,0.0178546962995165,0.973589866569898,0.172658088132971,0.748698099435157,0.939712809610491,NA,TRUE,"1","1","1","0.999999999899967",4
"12644","fgf13a",-0.0788883505853865,0.274423438136341,-0.0716121708949393,0.358644663161556,0.00727617969044716,0.923210355174985,0.501331861409758,NA,TRUE,"1","1","1","0.999999999899967",4
"12645","LOC129350305",0.500542548614994,0.060343810562897,0.668672703068033,0.0131580621165941,0.168130154453039,0.458630440550527,0.0431246762906025,NA,TRUE,"1","1","1","0.999999999899967",4
"12646","mcf2a",-0.243484961592458,0.216697173840442,-0.424453610332479,0.0525659556139788,-0.180968648740021,0.41527561953042,0.138809698662456,NA,TRUE,"1","1","1","0.999999999899967",4
"12647","atp11c",0.111467382696975,0.425257493639227,-0.112433093227207,0.46256673602223,-0.223900475924182,0.138318619964397,0.329790092845674,NA,FALSE,"1","1","1","0.999999999899967",4
"12648","LOC118471403",-17.8008817586774,0.975979852618273,0.145332566544193,0.870389211799249,17.9462143252216,0.975783758246548,0.986319990405997,"Model is nearly unidentifiable: large eigenvalue r",FALSE,"NA","NA","NA","NA",4
"12649","sox3",-0.37341673698147,0.435466938309872,-0.667077589852828,0.227375780084652,-0.293660852871358,0.609196434961553,0.455572467974857,NA,TRUE,"1","1","1","0.999999999899967",4
"12650","p2ry4",-0.149998148943979,0.915634393316038,-36.3292021016082,0.923896785164512,-36.1792039526643,0.924209798465229,0.989905624566855,NA,TRUE,"1","1","1","0.999999999899967",4
"12651","inppl1b",-0.433367165010916,0.379256676000939,-0.917507697778012,0.101548042916503,-0.484140532767096,0.40442637130268,0.253753335419722,NA,FALSE,"1","1","1","0.999999999899967",4
"12652","arr3b",-0.854697792983181,0.326107851593621,-39.160671887999,0.83005057926339,-38.3059740950158,0.833704994718863,0.603700506981156,NA,TRUE,"1","1","1","0.999999999899967",4
"12653","rab41",0.0423570427840976,0.77589816540949,0.253173828903807,0.0933857416096806,0.210816786119709,0.149551515585298,0.191989085576635,NA,FALSE,"1","1","1","0.999999999899967",4
"12654","pdzd11",-0.565023629047604,0.108156227685271,-0.731049746786889,0.0620240886061286,-0.166026117739285,0.692978078548405,0.10681760818224,NA,TRUE,"1","1","1","0.999999999899967",4
"12655","gdpd2",-0.846019795555871,0.125181229113165,-0.334104093955326,0.502630437509836,0.511915701600545,0.385500763153992,0.306863394223964,NA,TRUE,"1","1","1","0.999999999899967",4
"12656","dlg3",-0.147015702664347,0.0657611524906797,0.0692806446908889,0.411015199770566,0.216296347355236,0.00844298131229448,0.0242228080846525,NA,TRUE,"1","1","1","0.89548568932389",4
"12657","tex11",-1.53083544975266,0.0538090301131593,-0.668213534027754,0.279338514972472,0.862621915724905,0.321154705956909,0.130136942641611,NA,TRUE,"1","1","1","0.999999999899967",4
"12658","LOC129350384",21.8040427608357,0.99999559724982,53.8043146469208,0.999985342600345,32.0002718860851,0.999990373939514,0.99999999975849,NA,TRUE,"1","1","1","0.999999999899967",4
"12659","kdrl",-566.042289109409,0.999829745328706,-31.1822872749196,0.999992316665754,534.860001834489,0.9998980513519,0.999999977187571,NA,TRUE,"1","1","1","0.999999999899967",4
"12660","chic1",-0.232754072444692,0.375043141048618,-0.115656017927131,0.666965766365645,0.117098054517561,0.666737278385285,0.674701310933245,NA,TRUE,"1","1","1","0.999999999899967",4
"12661","lnx2b",0.813784799934897,0.999999835637957,31.7752490870351,0.999991343769954,30.9614642871002,0.999990681427973,0.999999999872949,NA,TRUE,"1","1","1","0.999999999899967",4
