"","gene","av_p","positive_p","interaction_p","d_m_p.value","d_f_p.value","f_m_p.value","d_m_estimate","d_f_estimate","f_m_estimate","int_d_p.value","int_f_p.value","int_m_p.value","int_d_estimate","int_f_estimate","int_m_estimate","warning","error","av_q","interaction_q","positive_q"
"11500","si:dkey-21e13.3",0.349504645181528,0.291297784118446,0.464178763676664,0.680768570390882,0.887356521765321,0.76324138480247,-0.0319261989657069,0.00787018096184433,-0.0240560180038625,0.523093757418922,0.91232066399908,0.299423541765104,-0.0450018051743376,-0.00850947036845959,0.136115701496924,NA,NA,0.780203714945871,0.817638919901521,0.477752059402575
"11501","si:ch73-127m5.2",0.489325471609239,0.524920873136209,0.659178649425472,0.312701954933783,0.382807804026429,0.726151168022699,0.095981899840704,-0.0683820275896701,0.0275998722510339,0.160304511309467,0.509722827425414,0.531905854444705,0.183364332557465,0.0488349381837153,0.0827271694783746,NA,NA,0.780203714945871,0.885011711530999,0.68817060106479
"11502","kif19",0.207247308241433,0.112991652688876,0.419740989447205,0.510946226618593,0.98450118722374,0.504197528922998,0.0306010303925051,-0.000818856715482319,0.0297821736770227,0.940058131965033,0.874479037643168,0.116752673425258,-0.00423798663914099,0.0073456671351885,0.0898652569321222,NA,NA,0.780203714945871,0.796309554129198,0.330595085396433
"11503","ttyh2",0.417523613100047,0.891802979951923,0.237421287077489,0.424654149122311,0.554853589915859,0.183505082722956,0.0367066527255236,0.0230315295482146,0.0597381822737383,0.27892837427387,0.209921446350416,0.892502165980967,-0.054669991428336,0.0554934629545619,-0.00865925486831073,NA,NA,0.780203714945871,0.704870276479717,0.947151257969821
"11504","rpl38",0.304055401812156,0.74404584941537,0.44409167961446,0.720071434234765,0.770139355570075,0.545663528477466,0.0190191281243389,0.0123329609083004,0.0313520890326392,0.121079430463334,0.785694470631292,0.746888915570128,-0.0788533008450634,-0.011864335410457,0.0257586169754279,NA,NA,0.780203714945871,0.808501046974631,0.845497551775988
"11505","sdk2b",0.153879805785931,0.0402356036579457,0.30404248411152,0.202153682750323,0.988986164587239,0.179486063318713,0.0600016941741363,0.000544748268109359,0.0605464424422457,0.537323531358789,0.637873436059332,0.0466400159982669,0.0291793416310438,0.0160789674755667,0.117471474491264,NA,NA,0.780203714945871,0.740122197238607,0.24290450017482
"11506","hs3st3b1b",0.575159678654167,0.962131428307898,0.758101860787649,0.243325929440802,0.646768395880284,0.437244052172532,0.0576210849869044,-0.020100559010684,0.0375205259762203,0.456786007354494,0.796474527262517,0.962511853803527,0.0408631500012086,-0.0132766405378143,0.00307976318987754,NA,NA,0.784321979669702,0.91384817238136,0.986661133457446
"11507","LOC111563277",0.504111704355568,0.987603499110131,0.971543032346872,0.690186176205687,0.968412863171662,0.530513057321063,0.03206942420391,0.00301135134012007,0.0350807755440301,0.8027241961824,0.73690761350899,0.987746874213513,-0.0328980850394272,-0.0204453063740275,-0.00122336300687982,NA,NA,0.780203714945871,0.992939715145999,0.995022884355687
"11510","ppp1r9bb",0.476831777323162,0.647580697626798,0.69741318739103,0.311419046267489,0.615832762204229,0.535019577966398,0.0523438308451332,-0.0213109842909917,0.0310328465541415,0.690963188854214,0.0966135038525526,0.654731400618478,-0.0202231319460936,-0.0747927523873219,-0.0328324082453668,NA,NA,0.780203714945871,0.894438573722878,0.77468495123153
"11514","lsm12b",0.442090037339895,0.965991927166488,0.639846007523342,0.703631220951035,0.525916031058281,0.425033927641988,0.0292210233785376,0.0378247608747671,0.0670457842533047,0.484730787237279,0.520668067283209,0.966456611706676,-0.0434643726562272,0.0592845526933993,0.0055114305880977,NA,NA,0.780203714945871,0.878546479123214,0.986661133457446
"11516","tanc2b",0.159467250432089,0.049927865422851,0.360986912557222,0.0950123930736131,0.85091129615369,0.0936940347400981,0.076203540717097,-0.00672152574563529,0.0694820149714617,0.900835873652694,0.128630010874447,0.0547218933339628,0.00669457435012348,0.0539668281601411,0.125154206006528,NA,NA,0.780203714945871,0.76818798831345,0.259493706539439
"11523","mfsd13a",0.410884582555493,0.168190673109709,0.45672239717251,0.611404906362296,0.325648561914127,0.760324848652633,0.0415314877515962,-0.0663493492969377,-0.0248178615453415,0.067489195140859,0.762774789746371,0.176810203922854,0.169297022688585,0.0272228573397886,0.176996698589129,NA,NA,0.780203714945871,0.813810509286337,0.433383631730797
"11524","sema4gb",0.331327130523527,0.0852383135963482,0.0800173960318906,0.396009949582265,0.550867598070517,0.150768421616358,-0.0808374050487359,-0.0557611835345255,-0.136598588583261,0.632443175660148,0.181342096931084,0.09163926399719,-0.0624070927408233,-0.170204560058602,0.216904272607692,NA,NA,0.780203714945871,0.513947706399496,0.326774423809792
"11529","LOC111570752",0.782959038245666,0.279927831422231,0.343134204528278,0.152513936165039,0.849888637825027,0.0942689026754071,0.0772397611128663,0.00811646038079717,0.0853562214936634,0.932315122049872,0.298845907443227,0.288675663135776,0.00496798401846804,0.0461681754472662,-0.0864707403082348,NA,NA,0.846689240233883,0.764991151925913,0.471318679485226
"11530","LOC111570774",0.604904606353541,0.391106764200356,0.258917167488355,0.0571820848339726,0.283014581669893,0.271249671348968,0.183217951122303,-0.0898678923543306,0.0933500587679722,0.160654989638252,0.995047769771495,0.398454403101069,0.183355724192125,0.000598268523915743,-0.109699734113029,NA,NA,0.788898213465175,0.720687132266335,0.587672117849386
"11531","LOC111570785",0.357846881613336,0.762447639063723,0.475101731070259,0.477908255812228,0.891350566893373,0.413379722539368,0.0373141110510632,0.00538728389310746,0.0427013949441706,0.353288772908321,0.488153722140845,0.764036606810104,-0.042632123321205,0.029414521561967,0.0233081976629098,NA,NA,0.780203714945871,0.819640431102451,0.858877624451205
"11532","LOC111584347",0.745854856129565,0.639066392264094,0.930677858478692,0.299804864035281,0.810611198666992,0.356586705850745,0.062349302784636,-0.0101965389467843,0.0521527638378517,0.914632482852547,0.500198485336919,0.644532587530686,0.00650090126575184,0.0277608603558557,0.0449000887284852,NA,NA,0.828740303175342,0.980818461630534,0.769572485309399
"11533","kansl1a",0.431621772680162,0.225816984156996,0.74446715840428,0.225303871565081,0.8578165743307,0.280765812785683,0.0553812306498391,-0.00720184813135654,0.0481793825184826,0.0646153535211431,0.302356803908218,0.233571049719307,0.0870245127411703,0.0408928856989015,0.0673283299339033,NA,NA,0.780203714945871,0.911156143349826,0.468583312669541
"11534","mapta",0.417365639157523,0.359795533588364,0.250828808195534,0.135648332624278,0.351728596790698,0.439500348000097,0.0758935200024688,-0.0411996208675749,0.0346938991348939,0.067767098086653,0.944366758876502,0.366039126097351,0.110308115035611,-0.00257964520895385,0.05254910541303,NA,NA,0.780203714945871,0.714306127379907,0.558425439024575
"11535","LOC111581336",0.386171092131771,0.0919915334079666,0.617367569426912,0.67292272430465,0.596689202798217,0.990915208494022,0.0293278435971519,-0.029989363099382,-0.00066151950223009,0.254503719438722,0.267865149997306,0.09704128461604,0.104172664833922,0.0552950757377854,0.152984248527706,NA,NA,0.780203714945871,0.87096253576928,0.326774423809792
"11536","LOC111581330",0.310810578108469,0.0448797243703829,0.832567278732159,0.832945730047831,0.890682474854595,0.660905731950426,0.0172523752260094,0.0104981039195124,0.0277504791455218,0.461434214458583,0.0708373175286995,0.0497388410038935,0.092595724892762,0.133188502959867,0.181727663509941,NA,NA,0.780203714945871,0.941811730764647,0.254224496085313
"11537","LOC111572927",0.237492435190075,0.216184617122601,0.130911345460979,0.685207618940295,0.526472613058101,0.328751278235358,0.0183733944125845,0.0240352304656275,0.042408624878212,0.432085199788912,0.043770187719835,0.220872954444656,-0.0383108667330818,0.0803873526719073,0.0769736170391665,NA,NA,0.780203714945871,0.598378937034315,0.468583312669541
