max_exprmean_column,max_exprmean_value
6|31,0.8360000252723694
17|24,0.8349999785423279
18|31,0.8100000023841858
13|30,0.7940000295639038
6|31,0.7799999713897705
14|27,0.7739999890327454
13|14,0.7710000276565552
13|14,0.7699999809265137
29|13,0.7580000162124634
29|13,0.7580000162124634
29|13,0.7580000162124634
29|13,0.7580000162124634
22|13,0.7559999823570251
22|13,0.7559999823570251
22|13,0.7559999823570251
29|17,0.7559999823570251
22|13,0.7559999823570251
22|17,0.7540000081062317
22|22,0.7540000081062317
18|18,0.753000020980835
27|31,0.7509999871253967
22|22,0.7390000224113464
19|13,0.7379999756813049
19|13,0.7379999756813049
19|13,0.7379999756813049
19|13,0.7379999756813049
19|17,0.7360000014305115
18|7,0.734000027179718
29|13,0.7319999933242798
29|13,0.7319999933242798
22|13,0.7300000190734863
22|13,0.7300000190734863
18|28,0.7279999852180481
28|16,0.7160000205039978
27|29,0.7120000123977661
19|13,0.7110000252723694
19|13,0.7110000252723694
18|9,0.6690000295639038
8|17,0.6639999747276306
28|13,0.6430000066757202
29|5,0.640999972820282
22|5,0.6380000114440918
0|17,0.6359999775886536
28|16,0.6349999904632568
17|5,0.6340000033378601
28|31,0.6299999952316284
28|31,0.6299999952316284
19|5,0.6200000047683716
5|5,0.6119999885559082
24|8,0.6060000061988831
30|19,0.5799999833106995
13|2,0.5699999928474426
9|22,0.5619999766349792
14|14,0.5600000023841858
6|31,0.5460000038146973
12|17,0.5410000085830688
13|26,0.5379999876022339
17|24,0.5350000262260437
22|8,0.5339999794960022
24|11,0.5239999890327454
2|22,0.5210000276565552
21|17,0.5199999809265137
27|31,0.5170000195503235
8|31,0.515999972820282
5|24,0.5120000243186951
17|17,0.4970000088214874
18|27,0.49399998784065247
0|31,0.4869999885559082
28|13,0.47600001096725464
18|24,0.4749999940395355
28|25,0.47200000286102295
18|27,0.4699999988079071
28|16,0.46700000762939453
18|12,0.4620000123977661
18|29,0.45500001311302185
18|24,0.4519999921321869
0|27,0.44999998807907104
4|26,0.4410000145435333
18|12,0.4390000104904175
18|29,0.4309999942779541
18|24,0.42899999022483826
21|21,0.4129999876022339
16|29,0.4129999876022339
17|25,0.40799999237060547
18|24,0.4050000011920929
27|14,0.4050000011920929
28|28,0.39100000262260437
8|19,0.3869999945163727
14|19,0.38600000739097595
29|2,0.38600000739097595
29|2,0.38600000739097595
0|11,0.38199999928474426
15|11,0.38199999928474426
27|14,0.3779999911785126
11|29,0.3619999885559082
27|25,0.34299999475479126
22|24,0.3319999873638153
27|2,0.3089999854564667
28|25,0.30399999022483826
14|25,0.30399999022483826
14|25,0.30399999022483826
29|8,0.30300000309944153
27|30,0.3009999990463257
