,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
LOC111564414,0.019102117,0.0013129236,0.0006224821,0.002036906,0.0058624414,0.0086018555,0.008154813,0.0014193942,0.014366155,0.0037438984,0.0026526316,0.0024770044,0.0016714641,0.002184616,0.0069824876,0.0037449538,0.0027717184,0.014078057,0.00918671,0.029738361,0.011928776,0.006477808,0.020741768,0.008060552,0.014006571,0.0061586024,0.10540606
tle3b,0.28438357,0.099994436,0.009794303,0.22366406,0.21079549,0.25464553,0.15836869,0.070273906,0.07855713,0.070166215,0.078570284,0.13089393,0.015055633,0.027591635,0.03594853,0.07737459,0.39051378,0.20757864,0.41661677,0.046035506,0.14626253,0.13086694,0.52838755,0.09663143,0.38380185,0.05562454,0.061359342
LOC129348677,0.004790544,0.00078785553,0.001406558,0.0048511694,0.0013034566,0.0021020789,0.003224622,0.0012658921,0.0039357133,0.003013932,0.002590154,0.015594446,0.0011662584,0.0024517314,0.004562586,0.001997288,0.003021465,0.005096847,0.007617284,0.0017697706,0.0060982876,0.0037602347,0.010664553,0.008935151,0.010998963,0.022490487,0.02588689
uacab,0.009882232,0.1341573,0.0007373233,0.041091137,0.04183545,0.023210151,0.011201464,0.053350154,0.042612717,0.008962451,0.0027704951,0.008355554,0.0058044195,0.0022053416,0.0029970873,0.23191294,0.011411258,0.021526018,0.009314599,0.023894219,0.0075285938,0.006418355,0.010084159,0.013119801,0.020636389,0.018304693,0.13893256
LOC111564639,0.34035715,0.123895936,0.10133764,0.31708506,0.23572716,0.3134184,0.2542023,0.18457614,0.32216188,0.14809908,0.12979187,0.134968,0.19039856,0.11352788,0.25218904,0.13878207,0.17993283,0.20881519,0.2312581,0.21992831,0.13472089,0.15331796,0.3701635,0.120029114,0.33395562,0.30913177,0.19152495
LOC129348555,0.0004136185,0.0006071109,0.0008057532,0.0019403235,0.0016525459,0.0017231021,0.0028336523,0.002704231,0.004532377,0.0024584318,0.0023937249,0.0027417033,0.0035118805,0.0034341135,0.0046241647,0.0053176475,0.0069907526,0.006007597,0.0076363645,0.008307955,0.015881604,0.009401848,0.010014073,0.018492743,0.030758861,0.062975645,0.023544526
rxfp3.3a1,0.018993959,0.00072226423,0.0004773095,0.03390037,0.003953376,0.02305555,0.06986957,0.0014593173,0.053111665,0.0032704042,0.0013033318,0.0011270164,0.002013304,0.0017466414,0.004969574,0.00454663,0.0068767346,0.0041881017,0.002225019,0.0026626345,0.009782141,0.01646105,0.009241286,0.012222248,0.022329355,0.008189432,0.019716743
pias1a,0.5090669,0.13880485,0.07941396,0.4827083,0.512977,0.46628734,0.4512466,0.19622706,1.6109908,0.23087177,0.18486434,0.28686196,0.19260651,0.17174405,0.32692415,0.1580074,0.2681491,0.21979487,0.35902843,0.20208406,0.22723414,0.3838484,0.56199545,0.34052464,0.45794836,0.36009505,0.24220803
skor1a,0.017553147,0.0026151869,0.005840267,0.011539591,0.013928032,0.044364512,0.03000709,0.0065031573,0.017028898,0.013971473,0.011195887,0.009887618,0.0076363855,0.0073824185,0.006834886,0.00517739,0.013469452,0.0057281805,0.012067816,0.0079970155,0.010097979,0.019909902,0.03170239,0.0885189,0.018895248,0.0176621,0.025670445
map2k5,0.46597803,0.21401015,0.13368227,0.31063643,0.29623792,0.3581374,0.3946137,0.15687652,0.42976516,0.156907,0.17019185,0.2640891,0.17982607,0.25788063,0.38919318,0.20501612,0.2095214,0.27880353,0.30466765,0.23473926,0.23145355,0.38121736,0.4266638,0.28908715,0.321872,0.3190001,0.3117309
smad3a,0.069196016,0.12911738,0.07965099,0.13049506,0.04228726,0.11402617,0.07021618,0.023299558,0.06872311,0.040911708,0.07409992,0.04268046,0.017173236,0.065883525,0.010846169,0.08457876,0.011520548,0.030334065,0.0624957,0.03252599,0.06601699,0.046658214,0.054657646,0.05592294,0.09501232,0.0813967,0.23172773
smad6a,0.0006019065,0.03584945,0.00042261014,0.011200932,0.0008158693,0.001448215,0.00093326205,0.0023417275,0.021616168,0.0020148645,0.0014997574,0.055117294,0.0011019153,0.0020490524,0.002125247,0.009698951,0.008414145,0.0023074215,0.002601097,0.0017845595,0.0052087978,0.004810331,0.0026175366,0.053173017,0.008574497,0.008897945,0.029745324
tmem208,0.04279218,0.015289712,0.0067250864,0.03029082,0.029271387,0.042575583,0.030208886,0.013138699,0.043378547,0.009283871,0.013318259,0.013031726,0.009107861,0.02142131,0.03182879,0.016448284,0.024774007,0.032683164,0.023378672,0.016722312,0.012527256,0.059245277,0.07158646,0.028244033,0.027601225,0.05966861,0.05945899
slc39a1,0.039396755,0.0051891804,0.003518249,0.017461985,0.017783018,0.016398765,0.021507865,0.0075036134,0.027515844,0.010567439,0.0059566675,0.07040617,0.0034872214,0.0048142085,0.015250308,0.012866064,0.0032936838,0.026840476,0.018149931,0.03205023,0.004887324,0.029809322,0.06680124,0.0043238467,0.022687305,0.009428262,0.031024478
rlbp1a,0.0016958922,0.001820538,0.00050540484,0.001362734,0.0010896185,0.0014548933,0.0025130173,0.0016817907,0.001133096,0.0042578387,0.0014416317,0.00082568696,0.0010528836,0.0010068591,0.0032945757,0.0014693633,0.0013918625,0.0016272913,0.016414024,0.0020892685,0.0039409352,0.0028623806,0.00247298,0.003803126,0.004098997,0.08306374,0.032383714
LOC111565738,0.3531907,0.099237,0.040199663,0.31615487,0.2539939,0.3039336,0.25793597,0.18346985,0.23065643,0.12890448,0.07634395,0.12834057,0.15557939,0.08429887,0.21498257,0.0884633,0.11960387,0.23251246,0.3480611,0.18632933,0.16721542,0.30986387,0.42191705,0.20757045,0.30495614,0.33708656,0.06175389
LOC111565745,0.023261307,0.74618226,0.0069840583,0.012341324,0.02859343,0.034922738,0.013710593,0.0076844255,0.031913437,0.0141107915,0.022522725,0.02271246,0.004041073,0.014942959,0.00461504,0.08258477,0.013568923,0.017124059,0.17945962,0.02682101,0.01883658,0.010741542,0.4589946,0.005357437,0.043991912,0.05384268,0.086681806
mibp2,0.046688344,0.0140151,0.0041449564,0.02016208,0.070823774,0.033338282,0.042276166,0.018210733,0.03253083,0.025535295,0.0076612267,0.019263465,0.009309115,0.0083926,0.04121551,0.016141716,0.029056348,0.03536069,0.019861797,0.016572144,0.034155037,0.039895512,0.06159052,0.011121061,0.051372055,0.03848931,0.10418848
