"","gene","estimate","p.value","warning","singular","q.value","cluster"
"10477","LOC129350161",0.559030746479483,0.547387503066683,NA,TRUE,"0.974906253774903",20
"10478","trim54",-0.43462684923881,0.745065905168967,NA,TRUE,"0.989111372187956",20
"10479","dnajc5ga",-0.308037025013727,0.261377560062666,NA,TRUE,"0.971342189386492",20
"10480","cad",1.45115058841897,0.123919004045155,NA,FALSE,"0.971342189386492",20
"10481","ift172",-0.241228365814223,0.440466805013353,NA,TRUE,"0.971342189386492",20
"10482","LOC111565467",-0.14166845480995,0.845872041850235,NA,TRUE,"1",20
"10483","msraa",0.155468039583341,0.509767530755747,NA,FALSE,"0.973250871963574",20
"10484","LOC111565472",-10.1350749133644,0.459864693778766,NA,TRUE,"0.971342189386492",20
"10485","LOC111565459",-0.23773897228223,0.68808572514359,NA,FALSE,"0.989111372187956",20
"10486","LOC111565470",0.174457153896234,0.413978432773409,NA,TRUE,"0.971342189386492",20
"10487","LOC111565451",0.740196010276214,0.116338148883371,NA,FALSE,"0.971342189386492",20
"10488","igf2r",-0.164060264760334,0.289641352294605,NA,TRUE,"0.971342189386492",20
"10489","LOC111565454",-4.17494205141877,0.298730266848555,NA,TRUE,"0.971342189386492",20
"10490","vgll2a",-3.68493107433355,0.465959976276296,NA,TRUE,"0.971342189386492",20
"10491","afdna",-0.109853577452758,0.469426981921965,NA,TRUE,"0.971342189386492",20
"10492","cep41",1.29289111282278,0.154747344676269,NA,FALSE,"0.971342189386492",20
"10493","ncoa1",-0.126746195535112,0.327819869608713,NA,FALSE,"0.971342189386492",20
"10494","ptrhd1",0.0543164354064985,0.930728143038268,NA,TRUE,"1",20
"10495","fam184ab",-0.00653019696319462,0.967348513642438,NA,FALSE,"1",20
"10496","man1a1",-0.0983552013231071,0.44747148302558,NA,FALSE,"0.971342189386492",20
"10497","tbc1d32",-0.177021053730203,0.582202427592884,NA,FALSE,"0.984876451938896",20
"10498","hsdl1",0.9419756301264,0.209614615355753,NA,TRUE,"0.971342189386492",20
"10499","c12h1orf198",-0.293115091778784,0.306793439567983,NA,TRUE,"0.971342189386492",20
"10500","clec11a",0.0231000387135846,2.10091487629147e-06,"Model failed to converge with max|grad| = 0.014534",FALSE,"NA",20
"10501","ttc13",0.227704101247834,0.249445949095316,NA,FALSE,"0.971342189386492",20
"10502","LOC129350197",1.46168865346728,0.439252461907924,NA,TRUE,"0.971342189386492",20
"10503","arv1",-1.39349934023336,0.410165143298735,NA,FALSE,"0.971342189386492",20
"10504","fam89a",-0.267041754625934,0.592076176685288,NA,FALSE,"0.987899222770838",20
"10505","sprtn",-1.57703710446301,0.216897280326212,NA,TRUE,"0.971342189386492",20
"10506","exoc8",-0.197384989792557,0.627258616815342,NA,TRUE,"0.989111372187956",20
"10507","LOC111564633",0.268219873474722,0.215682194626634,NA,TRUE,"0.971342189386492",20
"10508","c12h1orf131",0.0723765361236957,0.919808247434018,NA,TRUE,"1",20
"10509","gnpat",0.365711798539959,0.21003498949408,NA,TRUE,"0.971342189386492",20
"10510","LOC111564587",-0.24316665197755,0.277379331279486,NA,FALSE,"0.971342189386492",20
"10511","LOC118471411",-0.322244482426374,0.265619126413264,NA,FALSE,"0.971342189386492",20
"10512","LOC111564590",1.56307497406969,0.431516508523207,NA,TRUE,"0.971342189386492",20
"10513","LOC111564588",3.4768869340862,0.0858710174002456,NA,FALSE,"0.971342189386492",20
"10514","LOC111564589",4.52160551661424,1,"Model failed to converge with max|grad| = 0.002978",FALSE,"NA",20
"10515","LOC129350175",-5.47328368059172,0.294493522729406,NA,TRUE,"0.971342189386492",20
"10516","LOC129350148",-0.089224098719296,0.892491115772704,NA,FALSE,"1",20
"10517","scara5",0.629393198783301,0.147021214121325,NA,FALSE,"0.971342189386492",20
"10518","esco2",4.24089305895932,0.219758714482967,NA,TRUE,"0.971342189386492",20
"10519","ccdc25",-0.461629985574281,0.494140868130358,NA,TRUE,"0.973250871963574",20
"10520","hlx1",2.11439791141096,0.640026770162607,NA,FALSE,"0.989111372187956",20
"10521","dusp10",0.0122604454506896,0.972205328630531,NA,TRUE,"1",20
"10522","taf1a",0.229926664308711,0.751913476729104,NA,TRUE,"0.990022547548836",20
